OBJECTID,STATE,COUNTY,TRACT,BLKGRP,SUM_POP100,SUM_HU100,SUM_TotPop,SUM_HispPo,SUM_NonHis,SUM_NHOneR,SUM_NH_Whi,SUM_NH_Bla,SUM_NH_AmI,SUM_NH_Asi,SUM_NH_Haw,SUM_NH_Oth,SUM_NH_2or,SUM_VAP_To,SUM_VAP_Hi,SUM_VAP_No,SUM_VAP_NH,SUM_VAP__1,SUM_VAP__2,SUM_VAP__3,SUM_VAP__4,SUM_VAP_Ha,SUM_VAP__5,SUM_VAP__6,SUM_TotHou,SUM_OccHU,SUM_Vacant,BG_ID,OBJECTID_1,GEOID,SUMLEVEL,ST,COUNTY_1,TRACT_1,BLKGRP_1,Total,Only_English,Only_Spanish,Other_Languages,BG_ID_1,Shapearea,Shapelen,Percent_Only_English,Percent_Only_Spanish,Percent_Other_Languages
240,48,201,232402,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482012324021,240,15000US482012324021,150,48,201,232402,1,1582,896,604,82,482012324021,541338.827821,5584.648494,56.637168,38.17952,5.183312
241,48,201,232403,1,600,334,600,457,143,136,25,110,0,1,0,0,7,364,272,92,90,22,67,0,1,0,0,2,334,180,154,482012324031,241,15000US482012324031,150,48,201,232403,1,2439,1024,1415,0,482012324031,4622190.822752,9296.622575,41.98442,58.01558,0
242,48,201,232500,1,3135,865,3135,2109,1026,1014,407,582,9,11,0,5,12,2300,1464,836,830,373,440,6,8,0,3,6,865,797,68,482012325001,242,15000US482012325001,150,48,201,232500,1,2732,800,1932,0,482012325001,124157968.410455,57391.890998,29.282577,70.717423,0
243,48,201,232600,1,1330,418,1330,1057,273,264,227,31,1,3,0,2,9,942,703,239,232,202,25,1,3,0,1,7,418,401,17,482012326001,243,15000US482012326001,150,48,201,232600,1,1623,569,1054,0,482012326001,40671277.915798,32889.650314,35.058534,64.941466,0
244,48,201,232600,2,1670,495,1670,1251,419,411,205,194,2,0,0,10,8,1195,850,345,337,178,153,2,0,0,4,8,495,483,12,482012326002,244,15000US482012326002,150,48,201,232600,2,1310,318,977,15,482012326002,25206250.530269,31011.024127,24.274809,74.580153,1.145038
245,48,201,232701,1,2727,1003,2727,1493,1234,1205,152,1031,2,19,0,1,29,1892,963,929,908,136,753,1,17,0,1,21,1003,796,207,482012327011,245,15000US482012327011,150,48,201,232701,1,2685,987,1580,118,482012327011,40035320.12305,29018.735372,36.759777,58.845438,4.394786
246,48,201,232701,2,480,173,480,201,279,277,23,244,0,10,0,0,2,327,135,192,192,18,164,0,10,0,0,0,173,151,22,482012327012,246,15000US482012327012,150,48,201,232701,2,436,253,183,0,482012327012,6443572.216188,14898.307237,58.027523,41.972477,0
247,48,201,232701,3,4028,1413,4028,3152,876,853,129,696,5,18,0,5,23,2535,1954,581,575,97,452,4,18,0,4,6,1413,1199,214,482012327013,247,15000US482012327013,150,48,201,232701,3,3395,944,2451,0,482012327013,3765033.515346,11422.294627,27.805596,72.194404,0
248,48,201,232702,1,2535,1146,2535,2250,285,277,68,175,13,21,0,0,8,1747,1544,203,199,54,120,6,19,0,0,4,1146,750,396,482012327021,248,15000US482012327021,150,48,201,232702,1,2297,223,2074,0,482012327021,5025486.422685,11183.621077,9.708315,90.291685,0
249,48,201,232702,2,225,89,225,134,91,91,3,85,2,1,0,0,0,169,90,79,79,3,73,2,1,0,0,0,89,72,17,482012327022,249,15000US482012327022,150,48,201,232702,2,115,89,26,0,482012327022,2036285.247645,5928.192227,77.391304,22.608696,0
250,48,201,232702,3,2457,931,2457,1211,1246,1222,499,689,9,16,0,9,24,1723,772,951,933,448,459,8,11,0,7,18,931,875,56,482012327023,250,15000US482012327023,150,48,201,232702,3,2230,1150,1065,15,482012327023,41608267.121415,42625.003579,51.569507,47.757848,0.672646
251,48,201,232800,1,9,2,9,0,9,9,0,9,0,0,0,0,0,7,0,7,7,0,7,0,0,0,0,0,2,2,0,482012328001,251,15000US482012328001,150,48,201,232800,1,2103,1200,897,6,482012328001,919169.640057,11659.255183,57.061341,42.653352,0.285307
252,48,201,232800,2,5,3,5,1,4,4,0,3,0,1,0,0,0,5,1,4,4,0,3,0,1,0,0,0,3,3,0,482012328002,252,15000US482012328002,150,48,201,232800,2,2348,1719,588,41,482012328002,2240830.50732,22632.808016,73.211244,25.042589,1.746167
253,48,201,232900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482012329001,253,15000US482012329001,150,48,201,232900,1,1418,1005,366,47,482012329001,60356.550416,4024.75812,70.874471,25.811001,3.314528
254,48,201,232900,2,4,1,4,0,4,3,0,0,0,3,0,0,1,3,0,3,2,0,0,0,2,0,0,1,1,1,0,482012329002,254,15000US482012329002,150,48,201,232900,2,3500,2573,818,109,482012329002,741694.548091,6017.329668,73.514286,23.371429,3.114286
255,48,201,232900,3,925,456,925,325,600,589,51,509,0,29,0,0,11,602,196,406,401,37,339,0,25,0,0,5,456,369,87,482012329003,255,15000US482012329003,150,48,201,232900,3,1360,742,559,59,482012329003,1478579.131928,11585.043353,54.558824,41.102941,4.338235
256,48,201,233001,1,41,23,41,9,32,31,14,17,0,0,0,0,1,28,3,25,25,13,12,0,0,0,0,0,23,15,8,482012330011,256,15000US482012330011,150,48,201,233001,1,1603,1240,310,53,482012330011,801719.285215,10218.739363,77.354959,19.33874,3.306301
257,48,201,233001,2,1734,1001,1734,825,909,902,149,737,4,7,0,5,7,1108,502,606,602,124,462,4,7,0,5,4,1001,596,405,482012330012,257,15000US482012330012,150,48,201,233001,2,1244,738,407,99,482012330012,2853763.273671,13974.408579,59.324759,32.717042,7.958199
258,48,201,233003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482012330031,258,15000US482012330031,150,48,201,233003,1,1674,997,634,43,482012330031,145728.401926,5616.118823,59.557945,37.873357,2.568698
259,48,201,233003,2,2,1,2,0,2,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,2,1,1,0,482012330032,259,15000US482012330032,150,48,201,233003,2,629,357,244,28,482012330032,440627.981363,7745.880514,56.756757,38.791733,4.45151
260,48,201,233101,2,271,82,271,211,60,59,49,4,1,5,0,0,1,182,133,49,48,39,3,1,5,0,0,1,82,76,6,482012331012,260,15000US482012331012,150,48,201,233101,2,1603,695,859,49,482012331012,1324289.430656,20641.507724,43.356207,53.587024,3.056769
261,48,201,233101,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482012331013,261,15000US482012331013,150,48,201,233101,3,703,231,413,59,482012331013,159328.069218,5669.399401,32.859175,58.748222,8.392603
262,48,201,233102,1,6,3,6,4,2,2,1,1,0,0,0,0,0,5,4,1,1,1,0,0,0,0,0,0,3,2,1,482012331021,262,15000US482012331021,150,48,201,233102,1,823,113,710,0,482012331021,734476.931551,11060.289294,13.730255,86.269745,0
263,48,201,233102,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482012331022,263,15000US482012331022,150,48,201,233102,2,1813,262,1551,0,482012331022,152836.03643,4378.687051,14.451186,85.548814,0
264,48,201,233102,3,12,6,12,12,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,6,5,1,482012331023,264,15000US482012331023,150,48,201,233102,3,3528,492,3036,0,482012331023,336255.221243,5226.890432,13.945578,86.054422,0
265,48,201,233103,1,20,8,20,18,2,2,0,2,0,0,0,0,0,15,14,1,1,0,1,0,0,0,0,0,8,8,0,482012331031,265,15000US482012331031,150,48,201,233103,1,1981,421,1533,27,482012331031,458134.124094,6109.360257,21.251893,77.385159,1.362948
266,48,201,233103,2,219,61,219,171,48,47,38,6,2,0,0,1,1,154,116,38,37,31,4,2,0,0,0,1,61,56,5,482012331032,266,15000US482012331032,150,48,201,233103,2,1985,635,1320,30,482012331032,1389755.313836,13275.046845,31.989924,66.498741,1.511335
267,48,201,233200,1,1493,473,1493,931,562,558,481,72,3,2,0,0,4,1021,567,454,452,409,40,1,2,0,0,2,473,450,23,482012332001,267,15000US482012332001,150,48,201,233200,1,1600,958,632,10,482012332001,8483925.869079,17394.245029,59.875,39.5,0.625
268,48,201,233200,2,1675,504,1675,1147,528,522,476,42,2,2,0,0,6,1107,672,435,431,400,27,2,2,0,0,4,504,476,28,482012332002,268,15000US482012332002,150,48,201,233200,2,1430,441,989,0,482012332002,8619508.523494,15567.354721,30.839161,69.160839,0
269,48,201,233200,3,1509,454,1509,1173,336,329,284,35,2,3,2,3,7,1015,730,285,282,244,31,2,3,2,0,3,454,419,35,482012332003,269,15000US482012332003,150,48,201,233200,3,1269,301,958,10,482012332003,11213590.767344,15668.089237,23.719464,75.492514,0.788022
270,48,201,233200,4,1555,449,1555,1193,362,360,310,34,1,13,0,2,2,1020,726,294,292,260,18,1,11,0,2,2,449,419,30,482012332004,270,15000US482012332004,150,48,201,233200,4,1490,448,1030,12,482012332004,5898696.432879,9727.865354,30.067114,69.127517,0.805369
271,48,201,233300,1,1047,306,1047,980,67,66,56,5,5,0,0,0,1,674,614,60,60,50,5,5,0,0,0,0,306,264,42,482012333001,271,15000US482012333001,150,48,201,233300,1,838,131,707,0,482012333001,34183011.406113,89682.806482,15.632458,84.367542,0
272,48,201,233300,2,2151,583,2151,1879,272,269,241,15,10,2,0,1,3,1393,1154,239,238,220,11,5,2,0,0,1,583,551,32,482012333002,272,15000US482012333002,150,48,201,233300,2,2153,384,1769,0,482012333002,13319695.161421,21496.159628,17.835578,82.164422,0
273,48,201,233300,3,1620,440,1620,1462,158,157,134,15,0,6,0,2,1,1080,946,134,133,112,15,0,5,0,1,1,440,413,27,482012333003,273,15000US482012333003,150,48,201,233300,3,1512,452,1060,0,482012333003,11632037.342487,14515.203981,29.89418,70.10582,0
274,48,201,233400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482012334001,274,15000US482012334001,150,48,201,233400,1,1327,205,1122,0,482012334001,702330.573144,12926.904831,15.44838,84.55162,0
275,48,201,233400,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482012334002,275,15000US482012334002,150,48,201,233400,2,1349,351,986,12,482012334002,5791865.82487,22179.154688,26.019274,73.091179,0.889548
276,48,201,233500,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482012335003,276,15000US482012335003,150,48,201,233500,3,2752,981,1754,17,482012335003,707337.811218,4011.128777,35.646802,63.735465,0.617733
277,48,201,233600,1,1059,463,1059,249,810,804,5,795,1,2,0,1,6,786,140,646,640,5,631,1,2,0,1,6,463,394,69,482012336001,277,15000US482012336001,150,48,201,233600,1,974,930,44,0,482012336001,34604846.192784,34729.356716,95.482546,4.517454,0
278,48,201,233600,2,1068,477,1068,277,791,788,5,776,4,3,0,0,3,778,153,625,622,5,612,2,3,0,0,3,477,382,95,482012336002,278,15000US482012336002,150,48,201,233600,2,613,602,11,0,482012336002,6966290.522868,11171.449162,98.205546,1.794453,0
279,48,201,233701,1,14,12,14,12,2,2,0,2,0,0,0,0,0,11,9,2,2,0,2,0,0,0,0,0,12,6,6,482012337011,279,15000US482012337011,150,48,201,233701,1,3197,1759,1410,28,482012337011,17675263.720914,52199.51151,55.020332,44.103847,0.875821
280,48,201,233703,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482012337031,280,15000US482012337031,150,48,201,233703,1,1385,339,1046,0,482012337031,7855633.329233,28075.676342,24.476534,75.523466,0
281,48,201,240100,1,1563,811,1563,991,572,560,76,456,4,18,1,5,12,1081,650,431,423,62,334,4,18,1,4,8,811,643,168,482012401001,281,15000US482012401001,150,48,201,240100,1,1387,526,770,91,482012401001,17982202.495921,21270.088856,37.923576,55.515501,6.560923
282,48,201,240100,2,1504,769,1504,760,744,725,68,647,3,4,1,2,19,1051,491,560,549,62,477,3,4,1,2,11,769,633,136,482012401002,282,15000US482012401002,150,48,201,240100,2,1531,957,487,87,482012401002,16343069.943362,21200.537059,62.508165,31.809275,5.68256
283,48,201,240400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482012404001,283,15000US482012404001,150,48,201,240400,1,3677,2377,1152,148,482012404001,3361851.007761,18629.554331,64.645091,31.329888,4.02502
284,48,201,240400,2,101,31,101,71,30,28,25,3,0,0,0,0,2,61,38,23,21,18,3,0,0,0,0,2,31,29,2,482012404002,284,15000US482012404002,150,48,201,240400,2,2767,1076,1657,34,482012404002,21600667.150368,38980.558649,38.886881,59.884351,1.228768
285,48,201,240501,1,951,674,951,172,779,769,46,709,1,2,2,9,10,713,116,597,592,40,542,1,2,2,5,5,674,488,186,482012405011,285,15000US482012405011,150,48,201,240501,1,3035,1755,1263,17,482012405011,3369585.247693,20625.978683,57.825371,41.614498,0.560132
286,48,201,240501,2,1501,713,1501,882,619,600,31,547,2,11,0,9,19,1013,566,447,435,27,389,2,10,0,7,12,713,577,136,482012405012,286,15000US482012405012,150,48,201,240501,2,1385,744,614,27,482012405012,3695929.844358,10692.773685,53.718412,44.33213,1.949458
287,48,201,240502,1,1456,770,1456,850,606,582,53,526,0,3,0,0,24,991,524,467,451,48,400,0,3,0,0,16,770,571,199,482012405021,287,15000US482012405021,150,48,201,240502,1,1355,608,734,13,482012405021,3036797.767763,9853.159095,44.870849,54.169742,0.95941
288,48,201,240502,2,1895,997,1895,1027,868,861,79,766,4,7,0,5,7,1330,693,637,631,68,549,3,6,0,5,6,997,781,216,482012405022,288,15000US482012405022,150,48,201,240502,2,1563,876,624,63,482012405022,1725705.434321,5642.564851,56.046065,39.923225,4.03071
289,48,201,240502,3,2243,979,2243,1251,992,981,49,922,0,9,0,1,11,1390,758,632,627,30,588,0,9,0,0,5,979,848,131,482012405023,289,15000US482012405023,150,48,201,240502,3,2187,1106,1063,18,482012405023,2138493.083649,8269.980542,50.571559,48.605396,0.823045
290,48,201,240600,1,2327,1047,2327,1462,865,849,78,761,0,3,4,3,16,1523,924,599,592,54,530,0,3,2,3,7,1047,862,185,482012406001,290,15000US482012406001,150,48,201,240600,1,2221,767,1377,77,482012406001,3795360.865366,17666.851135,34.533994,61.999099,3.466907
291,48,201,240701,1,573,362,573,134,439,430,83,309,4,29,3,2,9,473,110,363,359,77,251,4,24,3,0,4,362,299,63,482012407011,291,15000US482012407011,150,48,201,240701,1,3662,1551,2025,86,482012407011,5230731.016952,11960.961633,42.353905,55.297652,2.348443
292,48,201,240701,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482012407012,292,15000US482012407012,150,48,201,240701,2,7700,3650,3642,408,482012407012,3422598.091541,20887.769682,47.402597,47.298701,5.298701
293,48,201,240702,1,599,171,599,277,322,320,23,283,3,11,0,0,2,352,163,189,189,17,163,2,7,0,0,0,171,167,4,482012407021,293,15000US482012407021,150,48,201,240702,1,2000,1124,763,113,482012407021,21344063.13094,25265.229278,56.2,38.15,5.65
294,48,201,240702,2,3,1,3,3,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,1,0,482012407022,294,15000US482012407022,150,48,201,240702,2,4996,2311,2482,203,482012407022,1672957.644396,13549.464418,46.257006,49.679744,4.063251
295,48,201,240801,1,4,1,4,4,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,1,0,482012408011,295,15000US482012408011,150,48,201,240801,1,1280,624,573,83,482012408011,313169.889574,2512.863414,48.75,44.765625,6.484375
296,48,201,240801,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,482012408012,296,15000US482012408012,150,48,201,240801,2,1608,542,1038,28,482012408012,3701755.591017,10663.025295,33.706468,64.552239,1.741294
297,48,201,240801,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482012408014,297,15000US482012408014,150,48,201,240801,4,1086,781,287,18,482012408014,691002.964647,7323.836645,71.915285,26.427256,1.657459
298,48,201,240802,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482012408021,298,15000US482012408021,150,48,201,240802,1,1052,778,274,0,482012408021,536976.607705,3483.37245,73.954373,26.045627,0
299,48,201,240802,2,13,5,13,1,12,12,8,4,0,0,0,0,0,9,1,8,8,6,2,0,0,0,0,0,5,5,0,482012408022,299,15000US482012408022,150,48,201,240802,2,2025,987,934,104,482012408022,1665310.330743,16097.559201,48.740741,46.123457,5.135802
300,48,201,240902,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482012409021,300,15000US482012409021,150,48,201,240902,1,1255,937,238,80,482012409021,280416.078769,6017.268932,74.661355,18.964143,6.374502
301,48,201,240902,2,32,14,32,13,19,19,4,15,0,0,0,0,0,21,6,15,15,4,11,0,0,0,0,0,14,14,0,482012409022,301,15000US482012409022,150,48,201,240902,2,5813,3927,1714,172,482012409022,7939084.031645,21704.326423,67.555479,29.485636,2.958885
302,48,201,241300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482012413001,302,15000US482012413001,150,48,201,241300,1,1973,1495,181,297,482012413001,2875881.439756,18074.966515,75.772935,9.173847,15.053218
303,48,201,241300,2,231,76,231,76,155,154,98,38,0,17,0,1,1,154,56,98,97,57,26,0,13,0,1,1,76,72,4,482012413002,303,15000US482012413002,150,48,201,241300,2,3540,2564,420,556,482012413002,8028961.190785,22008.822592,72.429379,11.864407,15.706215
304,48,201,241300,3,80,40,80,26,54,54,28,5,0,21,0,0,0,66,21,45,45,27,5,0,13,0,0,0,40,38,2,482012413003,304,15000US482012413003,150,48,201,241300,3,3872,2981,749,142,482012413003,3680911.690085,10227.051571,76.988636,19.344008,3.667355
305,48,201,241500,1,1366,662,1366,292,1074,1054,229,784,3,27,9,2,20,976,195,781,769,206,527,3,24,7,2,12,662,604,58,482012415001,305,15000US482012415001,150,48,201,241500,1,2149,1178,604,367,482012415001,70888901.300003,38088.958718,54.816194,28.106096,17.077711
306,48,201,241500,2,1886,595,1886,859,1027,1013,333,660,3,16,0,1,14,1254,524,730,724,273,433,3,14,0,1,6,595,569,26,482012415002,306,15000US482012415002,150,48,201,241500,2,1891,1130,737,24,482012415002,68373658.492641,36579.112838,59.756742,38.974088,1.26917
307,48,201,241500,3,3597,1052,3597,1303,2294,2251,589,1553,2,75,20,12,43,2562,934,1628,1602,540,976,1,69,9,7,26,1052,945,107,482012415003,307,15000US482012415003,150,48,201,241500,3,4082,2482,1377,223,482012415003,179476882.424553,85218.877713,60.803528,33.733464,5.463008
308,48,201,241500,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482012415004,308,15000US482012415004,150,48,201,241500,4,427,72,355,0,482012415004,6631991.057941,27391.456234,16.861827,83.138173,0
309,48,201,250100,2,148,58,148,60,88,85,78,5,1,1,0,0,3,106,33,73,72,67,3,1,1,0,0,1,58,54,4,482012501002,309,15000US482012501002,150,48,201,250100,2,2823,1747,1004,72,482012501002,31453058.297051,27285.59558,61.88452,35.565002,2.550478
310,48,201,250100,3,5,4,5,1,4,3,2,0,0,1,0,0,1,5,1,4,3,2,0,0,1,0,0,1,4,4,0,482012501003,310,15000US482012501003,150,48,201,250100,3,2792,1558,1191,43,482012501003,5491795.288387,37993.818877,55.802292,42.657593,1.540115
311,48,201,250301,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482012503011,311,15000US482012503011,150,48,201,250301,1,3478,2500,913,65,482012503011,110834.496537,2752.092813,71.880391,26.250719,1.86889
312,48,201,250401,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482012504011,312,15000US482012504011,150,48,201,250401,1,8901,6830,1473,598,482012504011,271099.860381,6142.611402,76.732951,16.548702,6.718346
313,48,201,250401,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482012504012,313,15000US482012504012,150,48,201,250401,2,1494,1390,74,30,482012504012,399617.150339,4395.601844,93.038822,4.953146,2.008032
314,48,201,250402,1,6,2,6,1,5,5,5,0,0,0,0,0,0,4,1,3,3,3,0,0,0,0,0,0,2,2,0,482012504021,314,15000US482012504021,150,48,201,250402,1,6633,5620,950,63,482012504021,4202495.417076,10791.48964,84.727876,14.322328,0.949796
315,48,201,250402,2,3,3,3,0,3,3,2,0,0,1,0,0,0,3,0,3,3,2,0,0,1,0,0,0,3,2,1,482012504022,315,15000US482012504022,150,48,201,250402,2,961,936,11,14,482012504022,5024675.169684,17708.922189,97.398543,1.144641,1.456816
316,48,201,250402,3,124,55,124,13,111,106,91,4,0,10,1,0,5,101,8,93,91,77,3,0,10,1,0,2,55,50,5,482012504023,316,15000US482012504023,150,48,201,250402,3,3324,2785,233,306,482012504023,28424772.017176,44757.364402,83.784597,7.009627,9.205776
317,48,201,250500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482012505001,317,15000US482012505001,150,48,201,250500,1,2342,1833,377,132,482012505001,678815.706898,17814.170363,78.266439,16.097353,5.636208
318,48,201,250500,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482012505002,318,15000US482012505002,150,48,201,250500,2,2431,1873,303,255,482012505002,3785232.882615,16752.113561,77.046483,12.464007,10.48951
319,48,201,250600,5,147,61,147,11,136,133,106,13,3,10,1,0,3,128,9,119,117,95,9,3,9,1,0,2,61,60,1,482012506005,319,15000US482012506005,150,48,201,250600,5,1169,813,309,47,482012506005,16608241.729329,31216.73631,69.546621,26.432849,4.02053
320,48,201,250701,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482012507011,320,15000US482012507011,150,48,201,250701,1,1654,1329,325,0,482012507011,2551387.757467,24138.067998,80.350665,19.649335,0
321,48,201,250701,2,213,98,213,34,179,175,165,9,1,0,0,0,4,174,27,147,145,139,5,1,0,0,0,2,98,87,11,482012507012,321,15000US482012507012,150,48,201,250701,2,824,664,160,0,482012507012,85209550.158514,90788.35951,80.582524,19.417476,0
322,48,201,250701,3,2,1,2,1,1,1,1,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,1,1,0,482012507013,322,15000US482012507013,150,48,201,250701,3,2784,1952,681,151,482012507013,1300476.964795,22307.861879,70.114943,24.461207,5.423851
323,48,201,250702,1,52,16,52,11,41,39,39,0,0,0,0,0,2,39,8,31,30,30,0,0,0,0,0,1,16,16,0,482012507021,323,15000US482012507021,150,48,201,250702,1,1367,1313,54,0,482012507021,2169167.269322,22013.515549,96.049744,3.950256,0
324,48,201,250702,2,36,10,36,0,36,34,23,0,0,11,0,0,2,25,0,25,24,15,0,0,9,0,0,1,10,10,0,482012507022,324,15000US482012507022,150,48,201,250702,2,3032,2372,405,255,482012507022,4596159.617041,16677.609085,78.23219,13.35752,8.41029
325,48,201,250800,1,4,1,4,0,4,4,3,1,0,0,0,0,0,4,0,4,4,3,1,0,0,0,0,0,1,1,0,482012508001,325,15000US482012508001,150,48,201,250800,1,1792,1611,181,0,482012508001,1388473.087967,6431.468657,89.899554,10.100446,0
326,48,201,250800,2,93,44,93,3,90,90,84,0,0,6,0,0,0,77,1,76,76,70,0,0,6,0,0,0,44,41,3,482012508002,326,15000US482012508002,150,48,201,250800,2,2285,2184,62,39,482012508002,14048107.581639,41841.042568,95.579869,2.713348,1.706783
327,48,201,250800,3,242,84,242,37,205,204,194,5,1,4,0,0,1,180,22,158,157,148,5,1,3,0,0,1,84,81,3,482012508003,327,15000US482012508003,150,48,201,250800,3,3522,2967,318,237,482012508003,35893193.797302,47801.726971,84.241908,9.028961,6.729131
328,48,201,250900,1,1400,455,1400,80,1320,1301,1242,19,1,30,0,9,19,974,47,927,918,871,14,0,27,0,6,9,455,450,5,482012509001,328,15000US482012509001,150,48,201,250900,1,1435,1298,37,100,482012509001,9889464.213264,16106.134444,90.452962,2.578397,6.968641
329,48,201,250900,2,2763,1667,2763,208,2555,2531,2364,97,9,53,1,7,24,2256,142,2114,2100,1963,76,7,46,1,7,14,1667,1318,349,482012509002,329,15000US482012509002,150,48,201,250900,2,2555,2388,29,138,482012509002,49077686.245625,33035.345627,93.463796,1.135029,5.401174
330,48,201,250900,3,1151,357,1151,88,1063,1050,995,12,3,40,0,0,13,762,54,708,707,671,9,1,26,0,0,1,357,347,10,482012509003,330,15000US482012509003,150,48,201,250900,3,1357,1312,31,14,482012509003,22241969.899897,20882.091308,96.683861,2.284451,1.031688
331,48,201,250900,4,3255,1080,3255,220,3035,3010,2858,53,11,82,1,5,25,2246,123,2123,2112,2009,36,8,55,1,3,11,1080,1044,36,482012509004,331,15000US482012509004,150,48,201,250900,4,2941,2631,207,103,482012509004,99758523.462885,47371.073594,89.459368,7.038422,3.50221
332,48,201,251000,1,1993,1125,1993,273,1720,1677,1411,138,5,110,3,10,43,1595,199,1396,1370,1179,97,5,79,3,7,26,1125,1011,114,482012510001,332,15000US482012510001,150,48,201,251000,1,1711,1449,90,172,482012510001,57511058.269982,29668.750739,84.687317,5.260082,10.052601
333,48,201,251000,2,781,353,781,54,727,719,685,12,2,20,0,0,8,658,40,618,610,588,9,0,13,0,0,8,353,330,23,482012510002,333,15000US482012510002,150,48,201,251000,2,653,623,30,0,482012510002,43995025.461013,29228.975438,95.405819,4.594181,0
334,48,201,251100,1,1365,547,1365,136,1229,1218,1156,35,2,20,3,2,11,1075,90,985,977,934,25,2,14,1,1,8,547,529,18,482012511001,334,15000US482012511001,150,48,201,251100,1,1338,1163,136,39,482012511001,9525720.784403,16199.290895,86.920777,10.164425,2.914798
335,48,201,251100,2,1216,493,1216,176,1040,1031,938,67,5,14,7,0,9,916,106,810,806,744,44,5,9,4,0,4,493,462,31,482012511002,335,15000US482012511002,150,48,201,251100,2,1176,991,185,0,482012511002,10845829.830563,15340.039037,84.268707,15.731293,0
336,48,201,251100,3,2110,811,2110,263,1847,1820,1674,45,16,83,0,2,27,1669,166,1503,1482,1363,34,15,70,0,0,21,811,784,27,482012511003,336,15000US482012511003,150,48,201,251100,3,2226,1602,278,346,482012511003,28856251.810851,26073.724207,71.967655,12.488769,15.543576
337,48,201,251100,4,630,271,630,73,557,549,502,31,1,13,2,0,8,480,46,434,429,398,19,1,10,1,0,5,271,247,24,482012511004,337,15000US482012511004,150,48,201,251100,4,526,471,22,33,482012511004,35381949.253253,35597.589294,89.543726,4.18251,6.273764
338,48,201,251100,5,2079,845,2079,447,1632,1599,1402,133,15,36,10,3,33,1572,270,1302,1291,1150,93,12,29,5,2,11,845,792,53,482012511005,338,15000US482012511005,150,48,201,251100,5,2102,1719,362,21,482012511005,36066818.468944,30503.122685,81.779258,17.221694,0.999049
339,48,201,251200,1,1776,729,1776,249,1527,1503,1377,73,0,48,0,5,24,1301,163,1138,1126,1038,54,0,29,0,5,12,729,639,90,482012512001,339,15000US482012512001,150,48,201,251200,1,1924,1558,301,65,482012512001,10536969.861521,13136.279082,80.977131,15.644491,3.378378
