OBJECTID_1,OBJECTID,STATE,COUNTY,TRACT,BLKGRP,SUM_POP100,SUM_HU100,SUM_TotPop,SUM_HispPo,SUM_NonHis,SUM_NHOneR,SUM_NH_Whi,SUM_NH_Bla,SUM_NH_AmI,SUM_NH_Asi,SUM_NH_Haw,SUM_NH_Oth,SUM_NH_2or,SUM_VAP_To,SUM_VAP_Hi,SUM_VAP_No,SUM_VAP_NH,SUM_VAP__1,SUM_VAP__2,SUM_VAP__3,SUM_VAP__4,SUM_VAP_Ha,SUM_VAP__5,SUM_VAP__6,SUM_TotHou,SUM_OccHU,SUM_Vacant,BG_ID,GEOID,BG_ID_1,Median_HHI
24,24,48,157,671900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481576719001,15000US481576719001,481576719001,105833
25,25,48,157,672001,3,2076,843,2076,699,1377,1323,359,439,5,510,1,9,54,1528,455,1073,1039,297,336,4,398,0,4,34,843,799,44,481576720013,15000US481576720013,481576720013,39085
26,26,48,157,672301,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481576723011,15000US481576723011,481576723011,67365
27,27,48,157,672400,1,115,30,115,12,103,99,0,62,0,37,0,0,4,83,8,75,71,0,40,0,31,0,0,4,30,30,0,481576724001,15000US481576724001,481576724001,77552
28,28,48,157,672400,2,31,10,31,8,23,23,14,6,3,0,0,0,0,20,5,15,15,8,4,3,0,0,0,0,10,10,0,481576724002,15000US481576724002,481576724002,55914
29,29,48,157,672500,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481576725003,15000US481576725003,481576725003,85714
30,30,48,157,672601,2,4,1,4,4,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,1,1,0,481576726012,15000US481576726012,481576726012,61063
31,31,48,157,672601,5,9,3,9,7,2,2,0,2,0,0,0,0,0,6,4,2,2,0,2,0,0,0,0,0,3,3,0,481576726015,15000US481576726015,481576726015,42467
32,32,48,157,672701,1,3,1,3,0,3,3,0,0,0,3,0,0,0,3,0,3,3,0,0,0,3,0,0,0,1,1,0,481576727011,15000US481576727011,481576727011,84429
33,33,48,157,672701,2,6,3,6,5,1,1,0,0,0,1,0,0,0,4,3,1,1,0,0,0,1,0,0,0,3,3,0,481576727012,15000US481576727012,481576727012,78142
34,34,48,157,672900,1,825,298,825,229,596,576,278,167,1,130,0,0,20,580,148,432,425,213,114,1,97,0,0,7,298,278,20,481576729001,15000US481576729001,481576729001,74558
35,35,48,157,673001,2,9,4,9,1,8,8,6,0,0,2,0,0,0,9,1,8,8,6,0,0,2,0,0,0,4,4,0,481576730012,15000US481576730012,481576730012,147045
36,36,48,157,673002,1,480,143,480,85,395,379,285,18,0,74,0,2,16,293,49,244,235,179,9,0,46,0,1,9,143,139,4,481576730021,15000US481576730021,481576730021,121855
37,37,48,157,673002,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481576730022,15000US481576730022,481576730022,132813
38,38,48,157,673003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481576730031,15000US481576730031,481576730031,152800
39,39,48,157,673003,2,61,17,61,8,53,52,32,0,1,19,0,0,1,37,4,33,33,19,0,1,13,0,0,0,17,17,0,481576730032,15000US481576730032,481576730032,117425
40,40,48,157,673102,1,479,256,479,109,370,365,288,24,0,52,1,0,5,329,58,271,269,219,15,0,34,1,0,2,256,210,46,481576731021,15000US481576731021,481576731021,120298
41,41,48,157,673102,2,36,13,36,6,30,28,11,4,0,13,0,0,2,24,4,20,19,7,4,0,8,0,0,1,13,12,1,481576731022,15000US481576731022,481576731022,135565
42,42,48,157,673400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481576734001,15000US481576734001,481576734001,131327
43,43,48,201,100000,1,3031,778,3031,898,2133,2115,924,843,13,47,0,288,18,2964,882,2082,2065,899,822,13,43,0,288,17,778,546,232,482011000001,15000US482011000001,482011000001,25685
44,44,48,201,100000,2,544,555,544,75,469,459,291,135,2,25,1,5,10,523,68,455,448,288,130,2,24,1,3,7,555,416,139,482011000002,15000US482011000002,482011000002,32837
45,45,48,201,100000,3,1115,989,1115,97,1018,1007,867,69,7,62,0,2,11,1073,82,991,984,854,62,7,59,0,2,7,989,775,214,482011000003,15000US482011000003,482011000003,102824
46,46,48,201,210100,1,9652,87,9652,1788,7864,7845,2893,4881,3,58,0,10,19,9469,1747,7722,7704,2839,4795,3,57,0,10,18,87,72,15,482012101001,15000US482012101001,482012101001,87375
47,47,48,201,210400,1,986,349,986,868,118,115,9,94,3,2,1,6,3,670,580,90,90,7,75,3,2,1,2,0,349,282,67,482012104001,15000US482012104001,482012104001,23854
48,48,48,201,210400,2,721,249,721,675,46,42,28,13,0,1,0,0,4,507,464,43,41,27,13,0,1,0,0,2,249,218,31,482012104002,15000US482012104002,482012104002,21184
49,49,48,201,210400,3,2557,895,2557,1775,782,771,108,646,3,11,0,3,11,1629,1221,408,406,87,306,3,7,0,3,2,895,824,71,482012104003,15000US482012104003,482012104003,24552
