OBJECTID,STATE,COUNTY,TRACT,SUM_POP100,SUM_HU100,SUM_TotPop,SUM_HispPop,SUM_NonHispPop,SUM_NHOneRace,SUM_NH_White,SUM_NH_Black,SUM_NH_AmInd,SUM_NH_Asian,SUM_NH_HawPacI,SUM_NH_Other,SUM_NH_2orMore,SUM_VAP_TotPop,SUM_VAP_HispPo,SUM_VAP_NonHis,SUM_VAP_NHOneR,SUM_VAP_NH_Whi,SUM_VAP_NH_Bla,SUM_VAP_NH_AmI,SUM_VAP_NH_Asi,SUM_VAP_HawPac,SUM_VAP_NH_Oth,SUM_VAP_NH_2or,SUM_TotHousing,SUM_OccHU,SUM_VacantHU,Shapearea,Shapelen
1061,48,339,694301,12302,6219,12302,818,11484,11342,10948,176,46,157,8,7,142,9621,519,9102,9042,8747,128,37,122,6,2,60,6219,4978,1241,537116958.506122,117445.606901
1062,48,339,694302,7656,3961,7656,519,7137,7049,6865,82,29,67,0,6,88,6106,343,5763,5706,5562,58,26,54,0,6,57,3961,3275,686,209144009.143977,100443.05316
1063,48,339,694400,7387,3157,7387,1006,6381,6285,5987,199,29,55,0,15,96,5547,626,4921,4869,4661,135,22,38,0,13,52,3157,2836,321,629390606.542292,137660.884984
1064,48,339,694500,6402,2261,6402,562,5840,5774,5543,108,35,79,2,7,66,4627,358,4269,4233,4073,79,21,54,2,4,36,2261,2153,108,1656939116.15204,251423.253233
1065,48,339,694600,6405,2594,6405,625,5780,5699,5070,575,36,16,0,2,81,4698,390,4308,4267,3807,414,31,13,0,2,41,2594,2319,275,2471860405.62619,248249.883051
1066,48,339,694700,3272,1539,3272,300,2972,2918,2673,196,21,20,3,5,54,2444,166,2278,2247,2073,138,18,11,3,4,31,1539,1245,294,3488017791.14022,267651.070306
1067,48,407,200101,6336,2658,6336,723,5613,5512,4764,652,39,53,1,3,101,4565,410,4155,4109,3518,516,32,40,1,2,46,2658,2238,420,2800358840.984,341580.369999
1068,48,407,200102,10069,4149,10069,1676,8393,8261,7498,692,34,28,2,7,132,7323,947,6376,6292,5692,546,27,23,2,2,84,4149,3533,616,7134539292.78855,491188.518535
1069,48,407,200200,5001,3074,5001,282,4719,4653,3929,664,23,32,4,1,66,3931,186,3745,3712,3201,474,20,15,2,0,33,3074,2059,1015,2901465252.12099,419905.20643
1070,48,407,200300,4978,3306,4978,199,4779,4701,4013,654,24,7,2,1,78,4239,150,4089,4030,3519,482,19,7,2,1,59,3306,2266,1040,4672260084.62801,360022.482504
1071,48,473,680100,2511,883,2511,688,1823,1801,1753,18,3,20,0,7,22,1775,441,1334,1325,1291,11,3,15,0,5,9,883,831,52,672916536.771008,130363.311934
1072,48,473,680200,9966,3668,9966,4573,5393,5290,3100,2109,24,41,0,16,103,7066,2809,4257,4203,2643,1494,19,32,0,15,54,3668,3196,472,4235577499.04042,342792.555886
1073,48,473,680300,10369,4289,10369,2715,7654,7527,4508,2942,20,48,1,8,127,7828,1664,6164,6092,3600,2439,14,35,1,3,72,4289,3814,475,2988078262.61741,347860.375338
1074,48,473,680400,3191,0,3191,109,3082,3031,29,2987,4,9,1,1,51,3180,109,3071,3021,29,2977,4,9,1,1,50,0,0,0,53507037.837283,32196.291344
1075,48,473,680500,9261,3866,9261,2956,6305,6227,3754,2355,55,44,3,16,78,6800,1801,4999,4951,3136,1724,43,36,1,11,48,3866,3389,477,4261751955.21357,593668.468871
1076,48,473,680600,7907,3133,7907,1495,6412,6338,6116,126,35,51,4,6,74,5900,931,4969,4924,4756,92,32,36,4,4,45,3133,2810,323,2222207281.5373,226417.394964
