OBJECTID,STATE,COUNTY,TRACT,SUM_POP100,SUM_HU100,SUM_TotPop,SUM_HispPop,SUM_NonHispPop,SUM_NHOneRace,SUM_NH_White,SUM_NH_Black,SUM_NH_AmInd,SUM_NH_Asian,SUM_NH_HawPacI,SUM_NH_Other,SUM_NH_2orMore,SUM_VAP_TotPop,SUM_VAP_HispPo,SUM_VAP_NonHis,SUM_VAP_NHOneR,SUM_VAP_NH_Whi,SUM_VAP_NH_Bla,SUM_VAP_NH_AmI,SUM_VAP_NH_Asi,SUM_VAP_HawPac,SUM_VAP_NH_Oth,SUM_VAP_NH_2or,SUM_TotHousing,SUM_OccHU,SUM_VacantHU,Shapearea,Shapelen
84,48,157,671502,1682,532,1682,168,1514,1454,335,420,12,679,0,8,60,1256,112,1144,1099,255,309,9,520,0,6,45,532,527,5,19416739.728188,20780.205274
85,48,157,671601,6631,2803,6631,850,5781,5593,3018,442,15,2098,2,18,188,5174,626,4548,4433,2427,328,8,1653,2,15,115,2803,2666,137,33231063.346251,28764.952936
86,48,157,671602,3596,1203,3596,289,3307,3224,1651,295,4,1273,0,1,83,2724,210,2514,2461,1213,232,2,1013,0,1,53,1203,1190,13,25632616.307956,21573.033022
87,48,157,671700,5103,2122,5103,413,4690,4598,3520,260,7,795,1,15,92,4322,321,4001,3945,3040,201,6,685,1,12,56,2122,2056,66,68297831.851728,42662.575761
88,48,157,671800,3011,1230,3011,884,2127,2090,809,813,5,455,1,7,37,2212,593,1619,1592,698,541,5,340,1,7,27,1230,1155,75,138406825.86178,53724.76214
89,48,157,671900,4130,1524,4130,815,3315,3241,2264,370,8,578,5,16,74,3141,526,2615,2581,1847,256,7,460,4,7,34,1524,1484,40,23203888.377669,23925.758287
90,48,157,672001,8542,2767,8542,1484,7058,6868,1743,1141,16,3935,4,29,190,6220,957,5263,5147,1435,818,11,2869,3,11,116,2767,2694,73,102828205.863835,47155.768098
91,48,157,672002,6279,3022,6279,1105,5174,5037,1690,1511,15,1802,0,19,137,5006,769,4237,4141,1481,1144,9,1490,0,17,96,3022,2872,150,28943037.112104,21912.945237
92,48,157,672100,4386,1946,4386,268,4118,4041,2464,190,6,1359,0,22,77,3717,212,3505,3452,2165,154,5,1111,0,17,53,1946,1786,160,81837834.853664,43232.692538
93,48,157,672200,3031,1163,3031,581,2450,2396,1816,331,8,232,1,8,54,2393,429,1964,1936,1484,257,6,184,1,4,28,1163,1113,50,72345211.163374,41760.534788
94,48,157,672301,7796,2471,7796,1599,6197,6018,1324,1100,17,3536,5,36,179,5425,1042,4383,4280,1029,742,15,2473,1,20,103,2471,2391,80,42297839.947268,32522.227902
95,48,157,672302,9225,3224,9225,1416,7809,7646,4552,554,22,2497,6,15,163,6781,927,5854,5786,3609,364,17,1782,4,10,68,3224,3141,83,42720275.677433,33136.851832
96,48,157,672400,8751,2622,8751,3385,5366,5202,1772,1639,23,1755,0,13,164,6164,2195,3969,3871,1441,1043,17,1363,0,7,98,2622,2514,108,45174257.934862,30487.01422
97,48,157,672500,7458,2315,7458,2695,4763,4633,1286,1891,16,1418,0,22,130,5348,1768,3580,3502,1069,1286,11,1125,0,11,78,2315,2231,84,28014892.904663,24047.351836
98,48,157,672601,10258,3030,10258,5248,5010,4867,1383,2463,17,982,1,21,143,6974,3404,3570,3489,1107,1623,12,738,1,8,81,3030,2901,129,39818303.430744,25617.261089
99,48,157,672602,6332,1766,6332,1830,4502,4425,541,2650,5,1213,1,15,77,4241,1185,3056,3022,417,1684,4,905,1,11,34,1766,1708,58,22546453.334399,25001.405968
100,48,157,672701,14078,3865,14078,3386,10692,10414,1411,4108,23,4818,2,52,278,9325,2145,7180,7041,1063,2489,16,3439,2,32,139,3865,3744,121,119843267.17489,43944.315144
101,48,157,672702,6942,2247,6942,1501,5441,5265,2544,1332,10,1360,0,19,176,4835,979,3856,3756,1876,880,10,977,0,13,100,2247,2147,100,37028686.787728,29567.815732
102,48,157,672800,8069,2370,8069,1200,6869,6625,2062,1596,17,2934,8,8,244,6001,889,5112,4965,1638,1183,10,2122,7,5,147,2370,2148,222,122085592.106209,47337.608202
103,48,157,672900,28537,9435,28537,7227,21310,20742,6993,7972,48,5666,2,61,568,19536,4674,14862,14583,5273,5124,33,4110,2,41,279,9435,9032,403,520843440.137719,118951.684876
104,48,157,673001,8459,2957,8459,1022,7437,7287,6111,240,19,894,1,22,150,5880,609,5271,5202,4398,175,16,599,0,14,69,2957,2898,59,57489358.30214,35310.860626
105,48,157,673002,7617,2599,7617,1235,6382,6229,4353,515,12,1310,3,36,153,5135,777,4358,4275,3079,323,6,837,3,27,83,2599,2516,83,155401779.127477,59196.092705
106,48,157,673003,12920,3839,12920,1664,11256,11041,7792,382,43,2788,1,35,215,7999,980,7019,6941,4962,231,23,1705,1,19,78,3839,3785,54,91419492.693491,40848.911697
107,48,157,673101,33201,10736,33201,6380,26821,26213,19432,2265,91,4337,13,75,608,21356,3825,17531,17269,12951,1421,58,2795,13,31,262,10736,10124,612,552476262.46896,122030.955073
108,48,157,673102,15344,5014,15344,2673,12671,12402,8961,596,26,2760,14,45,269,9824,1544,8280,8184,6040,395,18,1708,6,17,96,5014,4861,153,117062855.46156,48090.69831
109,48,157,673200,5677,2038,5677,783,4894,4820,4148,446,22,176,8,20,74,3984,486,3498,3469,2981,340,13,119,6,10,29,2038,1886,152,1327892794.12315,230733.334017
110,48,157,673300,4699,1875,4699,467,4232,4186,3696,351,42,89,0,8,46,3696,321,3375,3344,2989,250,23,74,0,8,31,1875,1749,126,1362113415.46419,257801.589867
111,48,157,673400,14932,5231,14932,2961,11971,11780,9015,1868,50,816,1,30,191,10611,1929,8682,8595,6725,1247,38,571,1,13,87,5231,4970,261,961371027.283414,169495.080075
112,48,157,673500,8541,3133,8541,1063,7478,7356,6093,869,17,363,0,14,122,6186,672,5514,5453,4576,593,14,261,0,9,61,3133,3034,99,111577014.697405,45721.306887
113,48,157,673600,6966,2570,6966,1013,5953,5878,5496,266,6,99,0,11,75,5198,664,4534,4492,4217,186,6,76,0,7,42,2570,2508,62,92898238.538573,39365.400296
114,48,157,673700,2209,18,2209,514,1695,1689,810,870,0,9,0,0,6,2187,509,1678,1672,810,853,0,9,0,0,6,18,17,1,96625189.161974,54418.055388
115,48,157,673800,9342,2934,9342,1669,7673,7370,3043,631,16,3644,9,27,303,6412,1082,5330,5164,2158,423,2,2556,5,20,166,2934,2836,98,162418604.359678,71125.693797
116,48,157,673901,8763,2650,8763,628,8135,7928,4374,426,16,3085,0,27,207,6079,372,5707,5594,3084,299,8,2195,0,8,113,2650,2608,42,59127957.462388,39298.193312
117,48,157,673902,5679,1753,5679,369,5310,5139,1099,225,11,3784,0,20,171,3894,219,3675,3594,797,139,6,2638,0,14,81,1753,1669,84,96910985.628205,46857.504915
118,48,157,674000,7972,3258,7972,716,7256,7098,3422,314,24,3318,5,15,158,6088,501,5587,5485,2799,250,8,2418,3,7,102,3258,3075,183,52534609.761122,28047.940031
119,48,157,674100,6922,2558,6922,876,6046,5886,3847,411,9,1602,6,11,160,5284,583,4701,4620,3041,307,5,1256,4,7,81,2558,2494,64,44678917.474603,27771.273793
120,48,157,674200,5600,1854,5600,321,5279,5176,3010,189,4,1963,0,10,103,4180,228,3952,3897,2265,136,4,1490,0,2,55,1854,1807,47,64455307.163673,45756.098537
121,48,157,674300,8794,2778,8794,756,8038,7824,3192,832,27,3747,0,26,214,6087,481,5606,5505,2285,610,17,2586,0,7,101,2778,2711,67,83733543.426186,41272.970764
122,48,157,674400,10074,3042,10074,656,9418,9177,3729,337,9,5074,1,27,241,6895,420,6475,6334,2645,225,5,3445,1,13,141,3042,2906,136,335717213.306411,143854.493996
123,48,157,674501,6603,2351,6603,774,5829,5671,2282,1890,16,1475,0,8,158,4577,489,4088,3994,1691,1309,15,975,0,4,94,2351,2233,118,253849299.849205,87234.137925
124,48,157,674502,16767,5159,16767,3102,13665,13379,8332,3429,43,1546,8,21,286,10390,1764,8626,8497,5286,2168,26,1004,2,11,129,5159,4907,252,750853229.958779,140554.783562
125,48,157,674601,3762,1429,3762,304,3458,3386,2739,252,11,383,0,1,72,2708,186,2522,2489,2006,181,8,293,0,1,33,1429,1408,21,35768223.361481,27994.764087
126,48,157,674602,7641,2543,7641,980,6661,6538,5021,717,10,777,0,13,123,5029,602,4427,4368,3315,489,6,546,0,12,59,2543,2475,68,312879224.005538,137290.635967
127,48,157,674603,5999,2060,5999,1707,4292,4178,3045,877,13,236,0,7,114,4200,1088,3112,3057,2265,584,10,192,0,6,55,2060,1977,83,27584557.668347,21272.263679
128,48,157,674604,4607,1415,4607,901,3706,3602,1118,1529,5,938,1,11,104,3078,532,2546,2497,858,923,4,706,1,5,49,1415,1375,40,83066596.845174,43052.04846
129,48,157,674700,11165,3551,11165,2213,8952,8757,3555,2978,25,2184,3,12,195,8322,1488,6834,6728,2958,2113,18,1630,3,6,106,3551,3395,156,236950334.038464,88494.186532
130,48,157,674800,5645,2313,5645,3004,2641,2598,1561,967,15,49,1,5,43,4038,1982,2056,2039,1347,635,10,42,1,4,17,2313,2091,222,41987049.944062,26139.35626
131,48,157,674900,5543,1598,5543,4049,1494,1466,465,971,12,14,0,4,28,3859,2667,1192,1171,431,720,8,10,0,2,21,1598,1480,118,108795297.410054,50956.459622
132,48,157,675000,3224,1155,3224,2548,676,662,194,448,5,5,7,3,14,2205,1724,481,476,163,301,2,4,4,2,5,1155,985,170,44679623.73476,34402.799743
133,48,157,675100,9099,3349,9099,4750,4349,4275,2731,1410,13,102,2,17,74,6326,3022,3304,3273,2267,914,9,74,1,8,31,3349,3073,276,83909422.71586,45413.637432
134,48,157,675200,5623,2090,5623,3684,1939,1898,1559,304,8,17,4,6,41,3958,2381,1577,1551,1329,192,6,16,2,6,26,2090,1927,163,65247483.728742,40558.568871
135,48,157,675300,6679,2293,6679,4674,2005,1958,1516,412,6,14,0,10,47,4703,3083,1620,1599,1278,297,5,11,0,8,21,2293,2096,197,101761348.923565,59323.014551
136,48,157,675400,6298,2104,6298,3429,2869,2820,2425,332,5,46,2,10,49,4408,2189,2219,2204,1926,229,5,37,1,6,15,2104,1971,133,1542050039.69494,248413.155573
137,48,157,675500,11151,3874,11151,3986,7165,6988,4027,2215,16,684,1,45,177,7775,2510,5265,5180,3157,1474,13,505,1,30,85,3874,3579,295,3231077669.13827,352011.816586
138,48,157,675600,5808,2152,5808,1697,4111,4067,3920,89,6,43,0,9,44,4210,1048,3162,3145,3034,68,6,37,0,0,17,2152,1964,188,2930820985.57808,328199.690775
139,48,157,675700,6808,2588,6808,2082,4726,4661,4134,481,7,34,2,3,65,4944,1322,3622,3589,3183,369,6,28,2,1,33,2588,2386,202,2534933710.18515,284830.386113
140,48,157,675800,3392,1433,3392,1268,2124,2098,1399,685,2,10,0,2,26,2511,812,1699,1683,1122,549,2,8,0,2,16,1433,1222,211,3510811220.06045,424165.197789
141,48,167,720100,5874,2170,5874,725,5149,5090,4737,82,11,248,1,11,59,4181,458,3723,3683,3452,53,8,164,1,5,40,2170,2100,70,69486601.971408,56775.981979
142,48,167,720200,4465,1860,4465,375,4090,4054,3765,68,12,200,6,3,36,3300,232,3068,3048,2849,45,8,137,6,3,20,1860,1738,122,78805539.916968,65975.668446
143,48,167,720301,2268,935,2268,256,2012,1986,1866,37,5,75,0,3,26,1735,168,1567,1551,1470,26,4,50,0,1,16,935,899,36,35177306.890946,26358.139067
144,48,167,720302,7004,2320,7004,740,6264,6145,5777,140,23,188,3,14,119,5095,458,4637,4579,4299,99,23,143,3,12,58,2320,2269,51,120279875.809978,56797.577779
145,48,167,720400,5923,1870,5923,446,5477,5406,4909,101,22,353,5,16,71,4132,282,3850,3816,3456,89,12,245,3,11,34,1870,1844,26,162136585.769386,56279.852288
146,48,167,720501,4268,1491,4268,645,3623,3544,3127,203,7,195,3,9,79,3058,395,2663,2627,2324,141,7,148,3,4,36,1491,1439,52,48252508.995073,41210.738099
147,48,167,720502,9546,3296,9546,1995,7551,7341,6067,700,27,531,3,13,210,6701,1247,5454,5361,4440,495,20,396,2,8,93,3296,3174,122,78591796.36208,36188.990987
148,48,167,720503,14007,4563,14007,2139,11868,11579,9648,861,39,1000,8,23,289,9322,1298,8024,7897,6571,585,26,698,5,12,127,4563,4441,122,139090380.526612,53575.049637
149,48,167,720600,11205,4169,11205,2502,8703,8484,6335,1448,46,621,17,17,219,7885,1522,6363,6257,4806,948,34,450,12,7,106,4169,3957,212,592603923.959675,136851.48333
150,48,167,720700,9369,3682,9369,1821,7548,7399,5794,784,43,756,8,14,149,6735,1169,5566,5488,4376,526,32,539,4,11,78,3682,3402,280,142186078.739516,54899.439927
151,48,167,720800,3648,1418,3648,863,2785,2731,1664,991,7,62,0,7,54,2782,521,2261,2238,1390,793,6,45,0,4,23,1418,1302,116,55664557.478928,31262.622751
152,48,167,720900,5513,2212,5513,1752,3761,3702,2805,808,19,50,0,20,59,3993,1116,2877,2845,2280,497,14,41,0,13,32,2212,1987,225,72079791.039742,34535.632474
153,48,167,721000,1858,820,1858,364,1494,1459,1378,43,5,28,1,4,35,1471,236,1235,1209,1153,32,5,16,1,2,26,820,733,87,104679092.921793,67101.89995
154,48,167,721100,10440,3740,10440,4686,5754,5633,4397,1058,38,104,0,36,121,7182,2794,4388,4323,3486,702,27,83,0,25,65,3740,3474,266,217092280.955501,67934.364406
155,48,167,721201,17172,6735,17172,2815,14357,14095,12160,1127,41,735,2,30,262,12269,1738,10531,10407,8977,826,37,543,2,22,124,6735,6358,377,168632296.193311,63436.765914
156,48,167,721202,3126,1076,3126,584,2542,2477,2094,260,7,109,0,7,65,2130,354,1776,1740,1470,183,6,79,0,2,36,1076,1023,53,147465582.566539,65844.146981
157,48,167,721300,4699,1996,4699,1216,3483,3429,3173,153,11,82,2,8,54,3560,851,2709,2677,2486,114,9,62,2,4,32,1996,1826,170,72417663.07465,51075.620461
158,48,167,721400,7164,3005,7164,699,6465,6350,5824,265,19,221,4,17,115,5337,471,4866,4815,4391,208,14,187,3,12,51,3005,2727,278,78633912.66229,42699.379302
159,48,167,721500,6767,3591,6767,625,6142,6063,5581,219,17,237,2,7,79,5650,459,5191,5133,4761,172,16,178,2,4,58,3591,3215,376,93695580.845457,51252.391279
160,48,167,721600,1900,864,1900,583,1317,1309,1195,21,10,76,0,7,8,1436,377,1059,1056,972,12,8,58,0,6,3,864,698,166,36642210.934507,43865.601476
161,48,167,721700,7937,3137,7937,2885,5052,4960,4432,272,48,188,6,14,92,5730,1778,3952,3897,3516,190,41,139,5,6,55,3137,2776,361,128821359.546654,50559.522503
162,48,167,721800,4540,2343,4540,1102,3438,3386,3065,30,25,265,0,1,52,3630,690,2940,2898,2663,21,25,189,0,0,42,2343,1870,473,163127191.422781,77393.857962
163,48,167,721900,8613,3740,8613,2061,6552,6439,3267,2983,28,145,6,10,113,6315,1354,4961,4904,2719,2039,24,114,5,3,57,3740,3299,441,813925422.006293,179295.017702
164,48,167,722001,5486,2040,5486,1525,3961,3902,3255,560,16,58,7,6,59,4060,1008,3052,3021,2544,406,12,47,6,6,31,2040,1947,93,90788001.974182,72126.820519
165,48,167,722002,3377,1383,3377,988,2389,2355,1881,435,9,25,0,5,34,2586,658,1928,1913,1553,328,9,18,0,5,15,1383,1282,101,18737196.219407,17864.701926
166,48,167,722100,6627,2510,6627,1839,4788,4695,3992,620,27,52,0,4,93,4893,1167,3726,3685,3210,405,24,42,0,4,41,2510,2339,171,41308136.873695,30726.314906
167,48,167,722200,3116,1483,3116,903,2213,2168,906,1228,11,17,1,5,45,2230,577,1653,1628,705,895,10,16,1,1,25,1483,1177,306,21865408.642701,19990.394054
168,48,167,722300,7335,2810,7335,3228,4107,4028,2707,1266,25,19,3,8,79,5046,2035,3011,2984,2120,825,19,15,3,2,27,2810,2460,350,45109647.366685,32431.852283
169,48,167,722600,2097,1018,2097,400,1697,1668,569,1027,9,55,3,5,29,1614,255,1359,1344,495,789,6,47,2,5,15,1018,910,108,51254927.181473,31092.092056
170,48,167,722700,4200,1771,4200,288,3912,3865,327,3510,19,9,0,0,47,3189,182,3007,2986,288,2673,16,9,0,0,21,1771,1513,258,50128175.741868,31035.900387
171,48,167,722800,2538,1118,2538,739,1799,1768,935,807,12,10,1,3,31,1878,471,1407,1394,816,558,10,6,1,3,13,1118,961,157,27880251.92728,24629.769976
172,48,167,722900,2608,1103,2608,658,1950,1910,1270,619,12,8,0,1,40,1926,419,1507,1492,1072,403,9,7,0,1,15,1103,995,108,22407787.086834,21682.324144
173,48,167,723000,3319,1451,3319,513,2806,2781,650,2104,6,10,3,8,25,2490,336,2154,2142,573,1552,4,9,1,3,12,1451,1281,170,35436244.783839,29031.027927
174,48,167,723100,3216,1563,3216,588,2628,2584,1218,1283,13,59,1,10,44,2560,434,2126,2100,1060,969,9,55,1,6,26,1563,1315,248,47638517.21191,32269.992553
175,48,167,723200,3362,1443,3362,819,2543,2479,1765,685,7,20,1,1,64,2541,509,2032,2002,1458,517,7,18,1,1,30,1443,1260,183,223699662.926208,68524.34208
176,48,167,723300,5457,2141,5457,722,4735,4695,4462,161,15,56,1,0,40,4105,489,3616,3596,3422,115,11,47,1,0,20,2141,2014,127,365600815.950917,86766.542031
177,48,167,723400,6706,2683,6706,854,5852,5784,5676,10,38,51,1,8,68,5058,556,4502,4463,4380,4,29,41,1,8,39,2683,2473,210,498412047.554721,113269.788825
178,48,167,723501,1021,414,1021,138,883,872,865,5,1,0,0,1,11,764,96,668,663,657,4,1,0,0,1,5,414,377,37,58387428.520519,33547.307092
179,48,167,723502,8883,3421,8883,1299,7584,7496,7402,30,35,11,3,15,88,6659,854,5805,5750,5688,15,27,7,2,11,55,3421,3164,257,688434565.34127,121899.984465
180,48,167,723600,4306,1816,4306,784,3522,3484,2827,633,9,15,0,0,38,3252,513,2739,2720,2216,483,9,12,0,0,19,1816,1577,239,1751082425.25354,190692.587942
181,48,167,723700,2170,1013,2170,436,1734,1723,464,1249,8,2,0,0,11,1505,278,1227,1220,377,834,7,2,0,0,7,1013,834,179,65635302.643355,56591.458587
182,48,167,723800,4098,2766,4098,430,3668,3616,3261,281,17,49,3,5,52,3595,331,3264,3231,2967,205,12,39,3,5,33,2766,1944,822,203307523.088627,166271.602064
183,48,167,723900,2417,2707,2417,353,2064,2033,1962,16,35,18,0,2,31,2046,215,1831,1810,1755,14,25,15,0,1,21,2707,1101,1606,6979945183.27375,701772.540997
184,48,167,724000,2393,350,2393,443,1950,1916,1384,492,14,24,1,1,34,2280,382,1898,1868,1359,474,13,20,1,1,30,350,267,83,635007746.556237,108720.824037
185,48,167,724101,1241,1394,1241,252,989,968,637,284,10,35,0,2,21,1045,185,860,849,590,223,6,28,0,2,11,1394,607,787,181622873.213866,109932.76506
186,48,167,724200,2748,1933,2748,528,2220,2156,1185,481,18,470,1,1,64,2253,381,1872,1827,1046,357,16,406,1,1,45,1933,1404,529,12426739.93358,20846.189938
187,48,167,724300,3104,2034,3104,844,2260,2212,1646,390,13,151,3,9,48,2608,623,1985,1956,1487,304,12,141,3,9,29,2034,1351,683,17201774.39184,17683.458622
188,48,167,724400,3312,2189,3312,1041,2271,2223,1314,838,24,37,3,7,48,2754,780,1974,1940,1183,693,18,36,3,7,34,2189,1472,717,12755509.438866,19728.785613
189,48,167,724500,849,755,849,139,710,693,518,139,7,26,0,3,17,771,107,664,653,508,110,7,25,0,3,11,755,515,240,11561590.329237,13597.986456
190,48,167,724600,1793,793,1793,612,1181,1157,98,1049,0,7,2,1,24,1093,391,702,696,80,608,0,5,2,1,6,793,579,214,7527468.650666,15639.120095
191,48,167,724700,1916,1236,1916,609,1307,1290,287,991,8,3,0,1,17,1470,407,1063,1049,250,790,6,3,0,0,14,1236,764,472,8186226.243892,13851.884668
192,48,167,724800,1622,1022,1622,565,1057,1039,601,421,3,9,3,2,18,1308,407,901,891,547,327,3,9,3,2,10,1022,717,305,6981662.576018,12334.184884
193,48,167,724900,1910,975,1910,700,1210,1179,782,375,6,13,2,1,31,1539,524,1015,996,684,292,5,13,1,1,19,975,790,185,6264944.32919,10481.145607
194,48,167,725000,2262,1096,2262,1083,1179,1153,860,266,8,17,1,1,26,1823,799,1024,1010,774,213,8,13,1,1,14,1096,906,190,7774438.364054,13280.41164
195,48,167,725100,1886,971,1886,702,1184,1159,314,820,10,10,1,4,25,1447,493,954,936,270,644,8,9,1,4,18,971,740,231,8628983.388093,16439.822274
196,48,167,725200,1661,938,1661,1004,657,654,178,459,4,12,0,1,3,1230,683,547,544,159,371,4,9,0,1,3,938,595,343,6661828.822972,18912.69581
197,48,167,725300,1898,961,1898,851,1047,1020,796,194,6,23,0,1,27,1443,571,872,859,689,146,6,18,0,0,13,961,727,234,13819672.907257,24969.860883
198,48,167,725400,3906,1833,3906,2140,1766,1723,1242,419,10,49,1,2,43,2972,1529,1443,1412,1058,303,8,40,1,2,31,1833,1516,317,12196315.891672,14743.387491
199,48,167,725500,1118,631,1118,194,924,910,823,71,8,8,0,0,14,931,137,794,785,723,49,6,7,0,0,9,631,512,119,9354943.80167,17237.526856
200,48,167,725600,3097,2862,3097,771,2326,2281,1558,490,19,213,0,1,45,2553,543,2010,1981,1391,408,12,169,0,1,29,2862,1654,1208,22692785.064783,24737.516118
201,48,167,725700,2214,1062,2214,473,1741,1714,1485,132,5,90,2,0,27,1775,332,1443,1426,1258,86,4,77,1,0,17,1062,893,169,14201823.790081,14446.254335
202,48,167,725800,3081,1971,3081,1196,1885,1841,1341,371,10,114,3,2,44,2292,803,1489,1463,1115,247,8,89,3,1,26,1971,1143,828,69823812.51016,52686.299399
203,48,167,725900,2214,2098,2214,465,1749,1697,1428,154,8,103,0,4,52,1927,352,1575,1538,1318,129,8,81,0,2,37,2098,1172,926,113319211.752132,51075.848913
204,48,167,726000,1566,1191,1566,188,1378,1360,1276,34,3,47,0,0,18,1259,141,1118,1107,1044,24,2,37,0,0,11,1191,643,548,805590445.171398,207718.764217
205,48,167,726100,2935,5247,2935,197,2738,2698,2617,39,13,29,0,0,40,2606,156,2450,2416,2346,32,11,27,0,0,34,5247,1468,3779,1361228492.95023,203405.043454
206,48,167,726200,2938,1263,2938,890,2048,1992,828,1137,11,12,0,4,56,2137,572,1565,1540,717,803,9,9,0,2,25,1263,1059,204,442585971.930357,187026.380803
207,48,167,990000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5659878025.04191,649929.728578
208,48,201,100000,4690,2322,4690,1070,3620,3581,2082,1047,22,134,1,295,39,4560,1032,3528,3497,2041,1014,22,126,1,293,31,2322,1737,585,41849144.973316,30733.081912
209,48,201,210100,9652,87,9652,1788,7864,7845,2893,4881,3,58,0,10,19,9469,1747,7722,7704,2839,4795,3,57,0,10,18,87,72,15,7482126.177959,14983.404864
210,48,201,210400,5328,1801,5328,4025,1303,1278,332,904,9,23,1,9,25,3643,2767,876,866,294,539,9,18,1,5,10,1801,1593,208,19524868.859886,20724.774341
211,48,201,210500,4882,1693,4882,4096,786,777,225,535,6,6,0,5,9,3474,2863,611,605,195,395,6,6,0,3,6,1693,1504,189,23158619.881769,20996.585764
212,48,201,210600,5497,2259,5497,4378,1119,1089,935,96,14,36,1,7,30,4209,3204,1005,980,851,75,13,33,1,7,25,2259,2037,222,25115941.384801,20320.651166
213,48,201,210700,2485,865,2485,1891,594,583,85,489,3,3,2,1,11,1761,1288,473,467,70,388,3,3,2,1,6,865,754,111,12179566.861253,15142.741473
214,48,201,210800,2753,1106,2753,1728,1025,1013,51,953,3,1,0,5,12,1947,1113,834,824,37,784,1,1,0,1,10,1106,891,215,39371982.016263,33508.829761
215,48,201,210900,1620,731,1620,362,1258,1253,35,1195,3,20,0,0,5,1247,221,1026,1023,31,971,3,18,0,0,3,731,598,133,13596246.861575,15054.179422
216,48,201,211000,2039,893,2039,570,1469,1456,38,1387,2,23,0,6,13,1527,362,1165,1156,35,1103,2,12,0,4,9,893,777,116,12082672.367193,15298.653053
217,48,201,211100,6004,2356,6004,3156,2848,2816,52,2732,17,8,5,2,32,4223,2010,2213,2190,42,2119,16,8,3,2,23,2356,1954,402,25690923.009937,24593.523704
218,48,201,211200,2831,1383,2831,951,1880,1866,29,1821,4,9,1,2,14,2100,621,1479,1465,25,1429,3,5,1,2,14,1383,1087,296,18336826.006207,20412.924113
219,48,201,211300,5046,2385,5046,1401,3645,3611,113,3484,3,0,1,10,34,3577,868,2709,2689,100,2578,3,0,1,7,20,2385,1858,527,29532863.077733,24877.508356
220,48,201,211400,3690,1537,3690,1310,2380,2362,288,1986,12,70,5,1,18,2526,836,1690,1678,271,1336,7,61,2,1,12,1537,1316,221,40276509.881242,30026.775369
221,48,201,211500,6907,2116,6907,6363,544,534,270,241,6,11,2,4,10,4733,4318,415,406,206,184,5,7,2,2,9,2116,1898,218,65118647.080751,35930.361516
222,48,201,211600,2811,1168,2811,2293,518,513,100,392,11,6,0,4,5,1984,1572,412,408,83,308,8,5,0,4,4,1168,858,310,12531914.08536,14501.116209
223,48,201,211700,3886,1653,3886,1205,2681,2652,42,2587,10,5,2,6,29,2852,779,2073,2054,35,2006,5,3,2,3,19,1653,1408,245,47852280.380907,32876.300877
224,48,201,211900,5225,1567,5225,5057,168,166,124,23,6,9,0,4,2,3526,3388,138,136,110,15,5,4,0,2,2,1567,1417,150,13425311.868258,15360.370033
225,48,201,212300,5381,2066,5381,4808,573,560,288,245,9,15,0,3,13,3851,3353,498,490,258,207,9,14,0,2,8,2066,1699,367,35076946.748998,25964.737576
226,48,201,212400,3216,1042,3216,2919,297,292,82,186,12,7,0,5,5,2254,1995,259,255,77,157,11,7,0,3,4,1042,938,104,87617983.061891,56233.501631
227,48,201,212500,3610,1566,3610,1015,2595,2563,40,2504,4,8,1,6,32,2810,655,2155,2131,32,2087,4,3,0,5,24,1566,1394,172,123044360.755078,76367.784012
228,48,201,220100,2097,725,2097,1038,1059,1047,39,996,9,1,0,2,12,1447,647,800,792,22,761,7,1,0,1,8,725,633,92,19189062.968168,18723.091179
229,48,201,220200,3030,1016,3030,2799,231,229,187,36,5,1,0,0,2,2152,1944,208,206,174,28,3,1,0,0,2,1016,906,110,15879332.032584,19925.077406
230,48,201,220300,4509,1421,4509,4077,432,427,348,55,2,15,0,7,5,3132,2753,379,377,313,45,2,12,0,5,2,1421,1298,123,21316693.203342,19633.676215
231,48,201,220400,5021,1489,5021,4507,514,503,298,191,4,9,0,1,11,3325,2931,394,387,266,111,2,7,0,1,7,1489,1353,136,20515245.184804,19151.057892
232,48,201,220500,4288,1943,4288,3149,1139,1116,585,508,3,19,0,1,23,3310,2238,1072,1053,543,487,3,19,0,1,19,1943,1820,123,25849625.634995,26146.320977
233,48,201,220600,3894,1149,3894,2937,957,952,244,694,6,5,1,2,5,2469,1912,557,555,197,346,4,5,1,2,2,1149,1051,98,17874199.581559,18381.011544
234,48,201,220700,6317,2086,6317,4482,1835,1815,201,1571,10,25,0,8,20,4198,2878,1320,1307,171,1113,9,12,0,2,13,2086,1866,220,44795188.041571,29615.472806
235,48,201,220800,3289,1235,3289,1575,1714,1702,69,1612,6,12,0,3,12,2118,923,1195,1189,63,1111,3,9,0,3,6,1235,1084,151,19355333.536572,20412.252502
236,48,201,220900,1852,550,1852,1499,353,346,49,276,3,15,0,3,7,1213,977,236,233,46,169,2,13,0,3,3,550,480,70,17007993.630722,19441.190317
237,48,201,221000,4037,1187,4037,3148,889,873,326,528,1,7,0,11,16,2679,1993,686,675,284,379,1,5,0,6,11,1187,974,213,26813762.351233,24739.045891
238,48,201,221100,3598,1046,3598,3203,395,394,314,42,5,29,0,4,1,2377,2044,333,332,270,31,5,25,0,1,1,1046,940,106,32973431.418891,25129.732193
