"","COUNTY","TRACT","BLKGRP","SUM_POP100","SUM_HU100","SUM_TotPop","SUM_HispPo","SUM_NonHis","SUM_NHOneR","SUM_NH_Whi","SUM_NH_Bla","SUM_NH_AmI","SUM_NH_Asi","SUM_NH_Haw","SUM_NH_Oth","SUM_NH_2or","SUM_VAP_To","SUM_VAP_Hi","SUM_VAP_No","SUM_VAP_NH","SUM_VAP__1","SUM_VAP__2","SUM_VAP__3","SUM_VAP__4","SUM_VAP_Ha","SUM_VAP__5","SUM_VAP__6","SUM_TotHou","SUM_OccHU","SUM_Vacant","Shapearea","Median_HHI","Median_House_Value","Only_English","Only_Spanish","Other_Languages","Percent_Only_English","Percent_Only_Spanish","Percent_Other_Languages","No_HS","HS_Graduate","Some_College","BS_and_Higher","Percent_No_HS","Percent_HS_Graduate","Percent_Some_College","Percent_BS_and_Higher","Vac_Rate"
"670601-3",157,670601,3,1114,390,1114,107,1007,995,20,968,2,5,0,0,12,803,70,733,723,18,699,1,5,0,0,10,390,371,19,4383793.229783,61489,113500,2769,65,239,90.107387,2.115197,7.777416,98,526,642,685,5.023065,26.960533,32.906202,35.1102,4.87179487179487
"670601-4",157,670601,4,351,120,351,48,303,301,3,295,0,3,0,0,2,232,32,200,199,3,193,0,3,0,0,1,120,115,5,4575076.988076,75037,128000,1458,156,27,88.848263,9.506399,1.645338,51,106,650,422,4.149715,8.624898,52.888527,34.336859,4.16666666666667
"670602-1",157,670602,1,1907,652,1907,508,1399,1393,36,1323,8,16,0,10,6,1349,328,1021,1017,31,963,4,14,0,5,4,652,605,47,28683389.805924,57279,92400,1659,540,0,75.443383,24.556617,0,166,512,328,255,13.164155,40.602696,26.011102,20.222046,7.20858895705521
"670700-1",157,670700,1,1506,514,1506,125,1381,1367,38,1302,2,23,0,2,14,1064,77,987,982,36,923,2,20,0,1,5,514,487,27,8636663.107119,49856,105500,1602,161,73,87.254902,8.769063,3.976035,287,303,387,337,21.841705,23.059361,29.452055,25.64688,5.25291828793774
"671900-1",157,671900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77247.496828,105833,149200,920,147,108,78.297872,12.510638,9.191489,35,111,301,389,4.186603,13.277512,36.004785,46.5311,NA
"672001-3",157,672001,3,2076,843,2076,699,1377,1323,359,439,5,510,1,9,54,1528,455,1073,1039,297,336,4,398,0,4,34,843,799,44,10852963.707202,39085,95500,254,854,149,20.206842,67.939539,11.85362,176,100,179,264,24.478442,13.908206,24.895688,36.717663,5.21945432977461
"672301-1",157,672301,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1789202.983989,67365,164400,2582,1044,4005,33.83567,13.681038,52.483292,948,1066,1109,1909,18.839428,21.18442,22.038951,37.937202,NA
"672400-1",157,672400,1,115,30,115,12,103,99,0,62,0,37,0,0,4,83,8,75,71,0,40,0,31,0,0,4,30,30,0,3813462.561065,77552,150700,677,326,1121,31.873823,15.348399,52.777778,189,235,436,658,12.450593,15.480896,28.722003,43.346509,0
"672400-2",157,672400,2,31,10,31,8,23,23,14,6,3,0,0,0,0,20,5,15,15,8,4,3,0,0,0,0,10,10,0,5882137.290353,55914,115600,827,1018,984,29.232944,35.984447,34.782609,438,215,613,465,25.303293,12.420566,35.413056,26.863085,0
"672500-3",157,672500,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1624503.632482,85714,139500,1486,518,1043,48.769281,17.000328,34.230391,247,512,607,775,11.536665,23.914059,28.351238,36.198038,NA
"672601-2",157,672601,2,4,1,4,4,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,1,1,0,44527.096826,61063,110700,349,711,126,29.426644,59.94941,10.623946,263,214,103,148,36.126374,29.395604,14.148352,20.32967,0
"672601-5",157,672601,5,9,3,9,7,2,2,0,2,0,0,0,0,0,6,4,2,2,0,2,0,0,0,0,0,3,3,0,134998.35259,42467,103500,758,716,246,44.069767,41.627907,14.302326,268,254,125,307,28.092243,26.624738,13.102725,32.180293,0
"672701-1",157,672701,1,3,1,3,0,3,3,0,0,0,3,0,0,0,3,0,3,3,0,0,0,3,0,0,0,1,1,0,573375.308996,84429,164500,1292,1000,1919,30.681548,23.747328,45.571123,328,592,663,1081,12.312312,22.222222,24.887387,40.578078,0
"672701-2",157,672701,2,6,3,6,5,1,1,0,0,0,1,0,0,0,4,3,1,1,0,0,0,1,0,0,0,3,3,0,1751449.966835,78142,154000,2609,1527,2388,39.990803,23.405886,36.603311,393,996,1312,1378,9.634714,24.417749,32.164746,33.78279,0
"672900-1",157,672900,1,825,298,825,229,596,576,278,167,1,130,0,0,20,580,148,432,425,213,114,1,97,0,0,7,298,278,20,13119360.592737,74558,166100,10679,4223,4668,54.568217,21.578947,23.852836,1161,2269,4655,5311,8.666766,16.937892,34.749179,39.646163,6.71140939597315
"673001-2",157,673001,2,9,4,9,1,8,8,6,0,0,2,0,0,0,9,1,8,8,6,0,0,2,0,0,0,4,4,0,1279996.42914,147045,284400,2172,389,587,68.996188,12.357052,18.64676,86,93,178,1543,4.526316,4.894737,9.368421,81.210526,0
"673002-1",157,673002,1,480,143,480,85,395,379,285,18,0,74,0,2,16,293,49,244,235,179,9,0,46,0,1,9,143,139,4,50749023.882328,121855,260400,2895,668,843,65.705856,15.161144,19.133,48,356,664,1848,1.646091,12.208505,22.770919,63.374486,2.7972027972028
"673002-2",157,673002,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47802642.764278,132813,195900,1623,178,457,71.877768,7.883082,20.23915,29,189,306,698,2.373159,15.466448,25.040917,57.119476,NA
"673003-1",157,673003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698548.180501,152800,340200,2862,436,884,68.436155,10.425634,21.138211,36,246,392,1700,1.516428,10.362258,16.512216,71.609099,NA
"673003-2",157,673003,2,61,17,61,8,53,52,32,0,1,19,0,0,1,37,4,33,33,19,0,1,13,0,0,0,17,17,0,9380640.869335,117425,223100,4736,936,1472,66.293393,13.101904,20.604703,108,496,1112,2962,2.308679,10.602822,23.770842,63.317657,0
"673102-1",157,673102,1,479,256,479,109,370,365,288,24,0,52,1,0,5,329,58,271,269,219,15,0,34,1,0,2,256,210,46,2343276.780043,120298,245600,4766,810,1067,71.744694,12.193286,16.06202,48,547,852,3049,1.067616,12.16637,18.950178,67.815836,17.96875
"673102-2",157,673102,2,36,13,36,6,30,28,11,4,0,13,0,0,2,24,4,20,19,7,4,0,8,0,0,1,13,12,1,1192516.998074,135565,275700,3094,606,871,67.687596,13.257493,19.054911,130,484,712,1752,4.223522,15.724496,23.131904,56.920078,7.69230769230769
"673400-1",157,673400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5910688.339822,131327,300800,5271,973,610,76.903998,14.19609,8.899912,194,601,1452,2737,3.892456,12.058587,29.133226,54.91573,NA
"100000-1",201,100000,1,3031,778,3031,898,2133,2115,924,843,13,47,0,288,18,2964,882,2082,2065,899,822,13,43,0,288,17,778,546,232,14717963.986163,25685,196200,1721,593,38,73.171769,25.212585,1.615646,615,839,512,184,28.604651,39.023256,23.813953,8.55814,29.8200514138817
"100000-2",201,100000,2,544,555,544,75,469,459,291,135,2,25,1,5,10,523,68,455,448,288,130,2,24,1,3,7,555,416,139,13100205.555704,32837,NA,466,29,33,88.257576,5.492424,6.25,16,92,150,188,3.587444,20.627803,33.632287,42.152466,25.045045045045
"100000-3",201,100000,3,1115,989,1115,97,1018,1007,867,69,7,62,0,2,11,1073,82,991,984,854,62,7,59,0,2,7,989,775,214,14030975.431473,102824,239600,755,34,136,81.621622,3.675676,14.702703,0,12,215,552,0,1.540436,27.599487,70.860077,21.6380182002022
"210100-1",201,210100,1,9652,87,9652,1788,7864,7845,2893,4881,3,58,0,10,19,9469,1747,7722,7704,2839,4795,3,57,0,10,18,87,72,15,7482126.177911,87375,NA,4614,1936,146,68.90681,28.912784,2.180406,1794,1717,661,78,42.211765,40.4,15.552941,1.835294,17.2413793103448
"210400-1",201,210400,1,986,349,986,868,118,115,9,94,3,2,1,6,3,670,580,90,90,7,75,3,2,1,2,0,349,282,67,3211599.6724,23854,69100,163,787,0,17.157895,82.842105,0,338,266,34,13,51.920123,40.860215,5.222734,1.996928,19.1977077363897
"210400-2",201,210400,2,721,249,721,675,46,42,28,13,0,1,0,0,4,507,464,43,41,27,13,0,1,0,0,2,249,218,31,2642614.765968,21184,79700,130,603,0,17.735334,82.264666,0,152,123,60,38,40.75067,32.975871,16.085791,10.187668,12.4497991967871
