"","COUNTY","TRACT","BLKGRP","SUM_POP100","SUM_HU100","SUM_TotPop","SUM_HispPo","SUM_NonHis","SUM_NHOneR","SUM_NH_Whi","SUM_NH_Bla","SUM_NH_AmI","SUM_NH_Asi","SUM_NH_Haw","SUM_NH_Oth","SUM_NH_2or","SUM_VAP_To","SUM_VAP_Hi","SUM_VAP_No","SUM_VAP_NH","SUM_VAP__1","SUM_VAP__2","SUM_VAP__3","SUM_VAP__4","SUM_VAP_Ha","SUM_VAP__5","SUM_VAP__6","SUM_TotHou","SUM_OccHU","SUM_Vacant","Shapearea","Median_HHI","Median_House_Value","Only_English","Only_Spanish","Other_Languages","Percent_Only_English","Percent_Only_Spanish","Percent_Other_Languages","No_HS","HS_Graduate","Some_College","BS_and_Higher","Percent_No_HS","Percent_HS_Graduate","Percent_Some_College","Percent_BS_and_Higher","Vac_Rate"
"313600-3",201,313600,3,1718,707,1718,592,1126,1112,28,1065,0,19,0,0,14,1279,377,902,893,26,852,0,15,0,0,9,707,596,111,8373624.608608,25820,84400,1130,151,235,74.538259,9.960422,15.501319,325,366,246,134,30.345472,34.173669,22.969188,12.511671,15.7001414427157
"313700-1",201,313700,1,953,383,953,23,930,921,8,906,2,3,0,2,9,725,16,709,708,8,694,2,2,0,2,1,383,353,30,4534105.51514,21302,52600,823,34,0,96.032672,3.967328,0,103,291,168,65,16.427432,46.411483,26.794258,10.366826,7.83289817232376
"313700-2",201,313700,2,1504,640,1504,169,1335,1323,24,1294,0,5,0,0,12,1188,111,1077,1068,23,1040,0,5,0,0,9,640,576,64,9707702.686587,35769,70200,1236,27,8,97.246263,2.124312,0.629426,236,387,399,60,21.81146,35.767098,36.876155,5.545286,10
"313800-1",201,313800,1,1235,442,1235,67,1168,1166,11,1140,2,12,0,1,2,630,37,593,591,11,569,1,9,0,1,2,442,399,43,6027948.069792,14495,44500,1074,0,20,98.171846,0,1.828154,178,205,179,52,28.990228,33.387622,29.153094,8.469055,9.72850678733032
"313800-2",201,313800,2,753,449,753,38,715,710,6,702,2,0,0,0,5,626,25,601,596,6,588,2,0,0,0,5,449,381,68,3635833.582496,18532,46000,517,0,0,100,0,0,67,202,168,33,14.255319,42.978723,35.744681,7.021277,15.1447661469933
"313800-3",201,313800,3,678,347,678,225,453,446,8,415,2,7,7,7,7,478,123,355,352,8,324,2,7,7,4,3,347,250,97,5710028.864874,25882,64300,332,354,0,48.396501,51.603499,0,191,105,139,0,43.908046,24.137931,31.954023,0,27.9538904899135
"313800-4",201,313800,4,2108,796,2108,137,1971,1948,14,1923,5,3,0,3,23,1368,85,1283,1272,8,1255,3,3,0,3,11,796,742,54,8339576.444456,26181,57600,1912,168,39,90.231241,7.928268,1.840491,298,377,316,149,26.140351,33.070175,27.719298,13.070175,6.78391959798995
"313900-1",201,313900,1,1943,1181,1943,272,1671,1609,668,651,3,284,2,1,62,1676,214,1462,1415,615,529,3,265,2,1,47,1181,979,202,22946204.758061,52174,120800,880,84,53,86.529007,8.259587,5.211406,29,153,37,367,4.948805,26.109215,6.313993,62.627986,17.1041490262489
"313900-2",201,313900,2,1635,1046,1635,158,1477,1433,524,469,1,430,0,9,44,1457,137,1320,1283,475,413,1,387,0,7,37,1046,918,128,3850416.817384,41725,118100,788,193,502,53.135536,13.01416,33.850303,35,41,303,897,2.742947,3.213166,23.746081,70.297806,12.2370936902486
"313900-3",201,313900,3,917,657,917,104,813,796,260,333,3,199,0,1,17,835,89,746,732,250,293,3,185,0,1,14,657,571,86,3059866.506889,48024,55000,487,67,344,54.231626,7.461024,38.30735,0,8,51,614,0,1.188707,7.578009,91.233284,13.089802130898
"314001-1",201,314001,1,25,24,25,7,18,17,5,0,0,12,0,0,1,25,7,18,17,5,0,0,12,0,0,1,24,15,9,10922718.121871,34314,NA,510,16,67,86.003373,2.698145,11.298482,92,79,231,135,17.132216,14.711359,43.01676,25.139665,37.5
"314001-2",201,314001,2,668,402,668,53,615,600,224,124,0,252,0,0,15,613,47,566,552,216,104,0,232,0,0,14,402,353,49,1299970.646882,22473,82100,252,33,253,46.840149,6.133829,47.026022,0,20,107,355,0,4.149378,22.19917,73.651452,12.1890547263682
"314001-3",201,314001,3,2066,1402,2066,207,1859,1770,705,393,9,658,0,5,89,1879,192,1687,1613,664,349,8,588,0,4,74,1402,1238,164,3025374.895664,55156,124700,1201,391,496,57.519157,18.726054,23.754789,20,172,207,1184,1.263424,10.865445,13.076437,74.794694,11.69757489301
"314002-1",201,314002,1,1493,903,1493,143,1350,1329,254,533,0,529,1,12,21,1373,130,1243,1224,241,467,0,503,1,12,19,903,824,79,1464862.217424,37198,NA,847,95,360,65.053763,7.296467,27.64977,0,120,181,458,0,15.810277,23.847167,60.342556,8.74861572535991
"314002-2",201,314002,2,1029,667,1029,114,915,897,291,156,1,436,4,9,18,947,109,838,821,275,145,0,389,4,8,17,667,537,130,2573697.503087,46484,NA,539,146,524,44.582299,12.076096,43.341605,0,83,143,492,0,11.559889,19.916435,68.523677,19.4902548725637
"314002-3",201,314002,3,1217,914,1217,120,1097,1068,506,194,0,368,0,0,29,1095,101,994,971,487,164,0,320,0,0,23,914,767,147,6972109.372057,54167,93800,1036,39,191,81.832543,3.080569,15.086888,35,79,141,891,3.054101,6.893543,12.303665,77.748691,16.0831509846827
"314002-4",201,314002,4,1155,701,1155,140,1015,999,249,267,1,479,1,2,16,1045,126,919,905,215,246,1,440,1,2,14,701,670,31,1521038.629838,23629,NA,559,59,832,38.551724,4.068966,57.37931,0,50,292,712,0,4.743833,27.703985,67.552182,4.42225392296719
"314002-5",201,314002,5,2650,1185,2650,246,2404,2371,548,378,1,1440,2,2,33,2425,232,2193,2163,527,317,0,1315,2,2,30,1185,1127,58,7358149.869878,34668,NA,714,116,1107,36.861125,5.988642,57.150232,0,38,183,1127,0,2.818991,13.575668,83.605341,4.89451476793249
"314300-1",201,314300,1,962,607,962,84,878,866,55,758,2,49,0,2,12,731,61,670,662,51,567,2,41,0,1,8,607,506,101,3636861.60001,14804,47300,315,132,60,62.130178,26.035503,11.83432,61,14,115,91,21.708185,4.982206,40.925267,32.384342,16.6392092257002
"314300-2",201,314300,2,1059,615,1059,112,947,939,63,832,1,43,0,0,8,841,79,762,758,55,664,1,38,0,0,4,615,588,27,9299553.552834,33712,NA,1051,26,77,91.074523,2.253033,6.672444,55,392,365,52,6.365741,45.37037,42.24537,6.018519,4.39024390243902
"314300-3",201,314300,3,1941,1254,1941,196,1745,1723,82,1578,7,54,1,1,22,1543,149,1394,1378,78,1243,7,48,1,1,16,1254,999,255,3407618.08355,24556,60900,1472,254,193,76.706618,13.23606,10.057322,110,523,562,289,7.412399,35.242588,37.87062,19.474394,20.3349282296651
"314400-1",201,314400,1,1216,1003,1216,125,1091,1049,448,112,0,483,1,5,42,1040,106,934,906,419,104,0,379,1,3,28,1003,699,304,4468646.730561,49297,81600,401,93,420,43.873085,10.175055,45.95186,58,9,186,532,7.388535,1.146497,23.694268,67.770701,30.309072781655
"314400-2",201,314400,2,1877,1324,1877,208,1669,1618,691,117,0,805,1,4,51,1656,186,1470,1429,644,109,0,674,1,1,41,1324,1092,232,21300317.275567,41224,153200,936,179,810,48.623377,9.298701,42.077922,28,48,133,1056,2.213439,3.794466,10.513834,83.478261,17.5226586102719
"320100-1",201,320100,1,1872,727,1872,1662,210,203,103,88,5,7,0,0,7,1262,1089,173,167,84,72,4,7,0,0,6,727,609,118,5857224.734185,32635,93700,92,1267,26,6.642599,91.480144,1.877256,393,222,133,80,47.463768,26.811594,16.062802,9.661836,16.2310866574966
"320100-2",201,320100,2,1004,341,1004,863,141,136,63,28,0,45,0,0,5,692,581,111,107,57,19,0,31,0,0,4,341,299,42,4731412.043213,38750,76700,93,1093,0,7.841484,92.158516,0,230,227,231,15,32.716927,32.290185,32.859175,2.133713,12.316715542522
"320200-1",201,320200,1,2205,689,2205,2035,170,162,96,53,4,5,0,4,8,1476,1337,139,133,83,41,3,5,0,1,6,689,627,62,20091127.793883,31400,103000,461,1404,18,24.482209,74.561869,0.955921,465,328,168,111,43.376866,30.597015,15.671642,10.354478,8.99854862119013
"320200-2",201,320200,2,931,326,931,817,114,114,81,27,1,4,0,1,0,566,474,92,92,69,17,1,4,0,1,0,326,267,59,5158006.707704,17986,NA,300,450,0,40,60,0,156,123,159,23,33.839479,26.681128,34.490239,4.989154,18.0981595092025
"320200-3",201,320200,3,1284,480,1284,528,756,743,146,23,8,565,0,1,13,964,364,600,589,136,21,7,424,0,1,11,480,421,59,12033610.164753,39523,83300,367,758,619,21.043578,43.463303,35.493119,348,243,367,230,29.292929,20.454545,30.892256,19.360269,12.2916666666667
"320200-4",201,320200,4,2242,751,2242,1715,527,520,172,56,3,281,0,8,7,1531,1123,408,402,153,42,2,200,0,5,6,751,671,80,7623341.804792,27014,102500,131,1670,148,6.721396,85.684967,7.593638,518,320,275,107,42.459016,26.229508,22.540984,8.770492,10.6524633821571
"320500-1",201,320500,1,2413,653,2413,2149,264,261,240,13,5,3,0,0,3,1602,1371,231,230,213,10,4,3,0,0,1,653,618,35,56505369.942843,29286,83500,665,1666,64,27.76618,69.561587,2.672234,572,366,232,137,43.764346,28.00306,17.750574,10.48202,5.35987748851455
"320500-2",201,320500,2,2205,577,2205,1972,233,221,206,7,3,5,0,0,12,1460,1270,190,183,176,2,2,3,0,0,7,577,545,32,6039933.30035,56356,80600,740,1395,27,34.227567,64.523589,1.248844,499,534,182,49,39.477848,42.246835,14.398734,3.876582,5.54592720970537
"320601-1",201,320601,1,2638,863,2638,2347,291,284,239,24,0,18,0,3,7,1771,1519,252,248,210,23,0,14,0,1,4,863,777,86,15220800.005282,32470,85900,370,1903,0,16.278047,83.721953,0,688,351,310,64,48.690729,24.840764,21.939137,4.52937,9.96523754345307
"320602-1",201,320602,1,1401,624,1401,1169,232,225,70,148,0,6,0,1,7,996,791,205,198,64,128,0,6,0,0,7,624,492,132,4616474.650083,26813,78400,254,1215,0,17.290674,82.709326,0,642,189,170,37,61.849711,18.208092,16.377649,3.564547,21.1538461538462
"320602-2",201,320602,2,1496,409,1496,1379,117,113,100,7,0,6,0,0,4,974,876,98,96,86,5,0,5,0,0,2,409,370,39,6949660.004709,38644,57800,327,1312,0,19.95119,80.04881,0,439,285,260,90,40.875233,26.536313,24.208566,8.379888,9.53545232273839
"320602-3",201,320602,3,1640,469,1640,1505,135,132,93,15,1,23,0,0,3,1130,1010,120,119,85,14,0,20,0,0,1,469,424,45,4783447.193838,25729,86300,11,916,0,1.186624,98.813376,0,261,298,19,51,41.494436,47.376789,3.020668,8.108108,9.59488272921109
"320700-1",201,320700,1,2723,1204,2723,1905,818,804,480,270,6,46,0,2,14,1896,1216,680,669,437,188,6,37,0,1,11,1204,935,269,10209255.423258,41932,118300,1021,1618,0,38.688897,61.311103,0,478,393,550,145,30.523627,25.095785,35.121328,9.259259,22.3421926910299
"320700-2",201,320700,2,1126,418,1126,712,414,408,54,53,1,300,0,0,6,826,503,323,322,51,37,1,233,0,0,1,418,398,20,26941742.137232,37976,102400,222,650,250,19.786096,57.932264,22.28164,351,410,145,33,37.380192,43.663472,15.44196,3.514377,4.78468899521531
"320900-1",201,320900,1,1598,907,1598,765,833,822,125,665,2,21,7,2,11,1123,509,614,607,101,477,0,20,7,2,7,907,650,257,3855024.970927,25282,96800,1115,489,103,65.319274,28.646749,6.033978,264,390,386,0,25.384615,37.5,37.115385,0,28.335170893054
"320900-2",201,320900,2,1981,522,1981,1691,290,285,230,40,5,10,0,0,5,1287,1058,229,225,186,25,5,9,0,0,4,522,500,22,7330127.281373,41078,85300,276,1533,0,15.257048,84.742952,0,268,419,211,64,27.858628,43.555094,21.933472,6.652807,4.21455938697318
"320900-3",201,320900,3,1933,542,1933,1522,411,396,309,47,4,34,0,2,15,1327,988,339,338,271,35,3,28,0,1,1,542,531,11,7499611.493741,41250,95500,440,1039,14,29.470864,69.591427,0.937709,337,186,265,111,37.486096,20.689655,29.477197,12.347052,2.02952029520295
"320900-4",201,320900,4,1882,515,1882,1509,373,368,290,36,1,39,1,1,5,1303,991,312,309,253,22,1,32,1,0,3,515,497,18,6257647.527328,50547,91400,564,1338,65,28.673106,68.022369,3.304525,429,233,339,64,40.28169,21.877934,31.830986,6.00939,3.49514563106796
"321000-1",201,321000,1,1304,390,1304,1038,266,264,226,23,0,15,0,0,2,925,685,240,238,208,17,0,13,0,0,2,390,374,16,5178238.290024,46842,86500,303,375,59,41.112619,50.881954,8.005427,126,85,260,23,25.506073,17.206478,52.631579,4.65587,4.1025641025641
"321000-2",201,321000,2,977,293,977,717,260,258,204,32,1,20,0,1,2,656,444,212,210,178,17,1,13,0,1,2,293,286,7,13380349.573362,38808,89200,524,725,46,40.46332,55.984556,3.552124,409,169,185,171,43.79015,18.094218,19.807281,18.308351,2.38907849829352
"321000-3",201,321000,3,1369,805,1369,923,446,435,113,280,1,41,0,0,11,887,558,329,324,95,201,1,27,0,0,5,805,484,321,2334639.86023,35513,NA,253,794,86,22.330097,70.079435,7.590468,244,329,159,71,30.386052,40.971357,19.800747,8.841843,39.8757763975155
"321000-4",201,321000,4,1203,385,1203,978,225,220,165,36,1,18,0,0,5,825,637,188,185,145,25,1,14,0,0,3,385,370,15,11722748.548489,29779,94400,423,861,31,32.1673,65.475285,2.357414,359,432,41,28,41.744186,50.232558,4.767442,3.255814,3.8961038961039
"321000-5",201,321000,5,2655,789,2655,2066,589,564,492,42,1,28,0,1,25,1818,1313,505,493,432,33,1,26,0,1,12,789,751,38,10132905.77749,48476,94400,1003,1079,37,47.333648,50.920245,1.746107,586,467,388,80,38.527285,30.703485,25.509533,5.259698,4.81622306717364
"321100-1",201,321100,1,3485,1530,3485,1960,1525,1492,561,647,11,264,5,4,33,2523,1305,1218,1199,479,497,7,209,3,4,19,1530,1399,131,32172847.870878,45189,123900,1423,1478,356,43.690513,45.379183,10.930304,519,546,607,391,25.157538,26.466311,29.42317,18.952981,8.56209150326797
"321100-2",201,321100,2,2934,892,2934,2109,825,807,495,132,4,167,0,9,18,1951,1301,650,639,416,87,2,131,0,3,11,892,854,38,22797107.105787,54375,118900,1074,1525,334,36.617797,51.994545,11.387658,518,462,548,407,26.770026,23.875969,28.320413,21.033592,4.26008968609866
"321100-3",201,321100,3,978,295,978,672,306,299,230,16,1,43,5,4,7,668,428,240,235,190,13,1,25,3,3,5,295,283,12,4874384.330505,35852,79100,378,358,0,51.358696,48.641304,0,178,122,181,0,37.006237,25.363825,37.629938,0,4.06779661016949
"321200-1",201,321200,1,1156,352,1156,868,288,276,135,124,0,17,0,0,12,672,491,181,178,106,59,0,13,0,0,3,352,337,15,6637674.099826,24263,76800,821,1419,31,36.151475,62.483487,1.365037,568,426,264,64,42.965204,32.223903,19.969743,4.84115,4.26136363636364
"321200-2",201,321200,2,1475,425,1475,1320,155,155,144,10,1,0,0,0,0,940,808,132,132,124,7,1,0,0,0,0,425,406,19,20349670.187087,26612,14000,200,746,0,21.141649,78.858351,0,282,157,100,124,42.533937,23.680241,15.082956,18.702866,4.47058823529412
"321300-1",201,321300,1,2122,838,2122,1710,412,402,126,249,1,26,0,0,10,1375,1072,303,300,114,164,1,21,0,0,3,838,715,123,3448356.275293,35198,NA,639,933,108,38.035714,55.535714,6.428571,431,119,183,55,54.695431,15.101523,23.22335,6.979695,14.6778042959427
"321300-2",201,321300,2,1746,753,1746,1313,433,427,150,264,8,4,0,1,6,1125,842,283,280,111,158,6,4,0,1,3,753,560,193,2420100.900623,22768,155800,925,1117,9,45.099951,54.461238,0.43881,531,171,219,79,53.1,17.1,21.9,7.9,25.6308100929615
"321300-3",201,321300,3,1678,560,1678,1207,471,464,412,31,6,15,0,0,7,1232,801,431,425,387,22,3,13,0,0,6,560,503,57,10905878.335544,43021,113300,612,929,78,37.801112,57.381099,4.817789,342,227,352,179,31.090909,20.636364,32,16.272727,10.1785714285714
"321600-3",201,321600,3,15,6,15,6,9,9,5,0,0,4,0,0,0,12,3,9,9,5,0,0,4,0,0,0,6,6,0,1075323.528464,35893,113100,435,823,0,34.578696,65.421304,0,181,315,184,54,24.659401,42.915531,25.06812,7.356948,0
"321700-1",201,321700,1,1452,513,1452,962,490,488,470,10,0,7,1,0,2,1052,610,442,440,427,8,0,4,1,0,2,513,491,22,9257578.965168,60600,117100,738,620,0,54.344624,45.655376,0,122,159,421,212,13.347921,17.396061,46.061269,23.194748,4.28849902534113
"321700-2",201,321700,2,1597,498,1597,1313,284,276,238,15,4,12,0,7,8,1098,839,259,254,222,14,4,9,0,5,5,498,463,35,11592954.732603,49123,95600,329,1518,80,17.073171,78.775298,4.151531,442,314,273,96,39.288889,27.911111,24.266667,8.533333,7.0281124497992
"321800-1",201,321800,1,1943,531,1943,1725,218,217,185,27,2,3,0,0,1,1292,1103,189,189,169,16,1,3,0,0,0,531,500,31,5950974.5561,38423,81700,478,1594,0,23.069498,76.930502,0,513,601,211,61,37.012987,43.362193,15.223665,4.401154,5.83804143126177
"321800-2",201,321800,2,2165,625,2165,1889,276,272,231,22,2,12,0,5,4,1485,1243,242,241,211,16,1,9,0,4,1,625,600,25,8130498.736492,41458,75700,432,1216,0,26.213592,73.786408,0,500,329,170,53,47.528517,31.273764,16.159696,5.038023,4
"324000-2",201,324000,2,243,84,243,127,116,116,70,6,0,40,0,0,0,187,93,94,94,63,5,0,26,0,0,0,84,76,8,24838630.060904,81362,147000,2371,716,403,67.936963,20.515759,11.547278,260,719,899,433,11.250541,31.112073,38.900909,18.736478,9.52380952380952
"324100-2",201,324100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135561.907314,20375,50300,160,628,0,20.304569,79.695431,0,348,128,58,0,65.168539,23.970037,10.861423,0,NA
"324100-3",201,324100,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3223050.907607,38750,81700,88,485,21,14.814815,81.649832,3.535354,156,98,88,9,44.444444,27.920228,25.071225,2.564103,NA
"324200-1",201,324200,1,1647,471,1647,1550,97,96,58,24,7,7,0,0,1,1101,1031,70,70,49,11,4,6,0,0,0,471,437,34,59443669.269096,32961,78200,261,1201,0,17.852257,82.147743,0,465,239,197,46,49.102429,25.237592,20.802534,4.857445,7.21868365180467
"330100-1",201,330100,1,1359,381,1359,803,556,543,13,507,0,21,0,2,13,947,529,418,411,12,379,0,19,0,1,7,381,368,13,3267462.628758,27254,84900,649,842,3,43.440428,56.358768,0.200803,276,272,179,177,30.530973,30.088496,19.800885,19.579646,3.41207349081365
"330100-2",201,330100,2,1706,490,1706,935,771,766,18,725,0,19,0,4,5,1177,617,560,556,14,521,0,19,0,2,4,490,477,13,3886477.560035,32438,91200,1032,1160,49,46.05087,51.762606,2.186524,578,592,180,278,35.503686,36.363636,11.056511,17.076167,2.6530612244898
"330100-3",201,330100,3,2674,649,2674,1678,996,979,16,946,0,16,0,1,17,1701,1043,658,653,12,625,0,15,0,1,5,649,631,18,5257528.222689,28446,92500,335,1503,19,18.039849,80.936995,1.023156,725,360,59,60,60.215947,29.900332,4.900332,4.983389,2.77349768875193
"330100-4",201,330100,4,2574,812,2574,1328,1246,1243,41,1169,1,25,0,7,3,1783,816,967,966,36,902,1,24,0,3,1,812,752,60,15278033.561122,40212,90700,1125,1125,91,48.056386,48.056386,3.887228,526,290,463,257,34.244792,18.880208,30.143229,16.731771,7.38916256157635
"330200-1",201,330200,1,2388,703,2388,1261,1127,1118,77,1006,4,28,0,3,9,1610,771,839,836,61,744,4,26,0,1,3,703,656,47,37581496.647013,44274,94300,509,849,36,36.51363,60.903874,2.582496,312,246,209,171,33.26226,26.226013,22.28145,18.230277,6.68563300142247
"330200-2",201,330200,2,1855,667,1855,944,911,891,68,818,2,3,0,0,20,1328,613,715,702,61,636,2,3,0,0,13,667,624,43,10212800.243217,29415,94800,1004,382,122,66.578249,25.331565,8.090186,339,338,223,215,30.403587,30.313901,20,19.282511,6.44677661169415
"330301-1",201,330301,1,4489,1209,4489,2922,1567,1534,118,1243,10,159,2,2,33,2853,1789,1064,1044,85,827,2,128,2,0,20,1209,1172,37,26321526.942948,56964,123900,1534,2300,266,37.414634,56.097561,6.487805,937,436,538,476,39.254294,18.265605,22.538752,19.941349,3.06038047973532
"330301-2",201,330301,2,2680,635,2680,2089,591,579,106,374,0,93,0,6,12,1658,1255,403,398,74,247,0,74,0,3,5,635,626,9,8339601.42759,53133,111700,348,2042,81,14.083367,82.638608,3.278025,668,353,362,175,42.875481,22.657253,23.234917,11.232349,1.41732283464567
"330302-1",201,330302,1,2371,652,2371,1866,505,494,64,405,1,18,0,6,11,1543,1222,321,315,53,245,0,14,0,3,6,652,606,46,27026175.176151,45327,101200,453,1861,8,19.509044,80.146425,0.344531,805,330,284,121,52.272727,21.428571,18.441558,7.857143,7.05521472392638
"330302-2",201,330302,2,1259,412,1259,538,721,713,95,613,0,4,1,0,8,929,342,587,580,87,488,0,4,1,0,7,412,386,26,7534240.575679,29531,93000,724,290,25,69.682387,27.911453,2.40616,174,212,126,61,30.366492,36.998255,21.989529,10.645724,6.31067961165049
"330302-3",201,330302,3,1897,721,1897,733,1164,1146,61,1069,8,7,0,1,18,1358,449,909,898,53,835,5,4,0,1,11,721,574,147,31956057.198615,46488,106100,1484,548,26,72.108844,26.627794,1.263362,424,418,224,396,29.001368,28.590971,15.321477,27.086183,20.3883495145631
"330303-1",201,330303,1,1467,564,1467,996,471,464,58,398,0,7,0,1,7,939,602,337,335,55,275,0,5,0,0,2,564,451,113,12644951.899302,33697,105200,259,608,0,29.873126,70.126874,0,345,82,54,29,67.647059,16.078431,10.588235,5.686274,20.0354609929078
"330303-2",201,330303,2,1448,591,1448,734,714,702,152,539,5,6,0,0,12,1045,467,578,571,146,416,3,6,0,0,7,591,553,38,27974125.139397,41912,119600,624,522,0,54.450262,45.549738,0,165,375,279,88,18.191841,41.345094,30.76075,9.702315,6.42978003384095
"330303-3",201,330303,3,1146,376,1146,259,887,886,17,852,0,17,0,0,1,831,169,662,661,15,632,0,14,0,0,1,376,373,3,15501853.108199,102656,135300,839,230,69,73.725835,20.210896,6.063269,108,142,245,269,14.136126,18.586387,32.068063,35.209424,0.797872340425532
"330400-1",201,330400,1,1270,355,1270,951,319,318,59,247,0,12,0,0,1,850,603,247,246,54,180,0,12,0,0,1,355,332,23,11588441.596243,33558,79200,173,755,0,18.642241,81.357759,0,300,225,100,29,45.87156,34.40367,15.29052,4.434251,6.47887323943662
"330400-2",201,330400,2,1779,546,1779,1126,653,643,76,561,1,1,0,4,10,1212,720,492,488,65,421,1,1,0,0,4,546,503,43,18127956.848001,34798,85000,751,1055,0,41.58361,58.41639,0,542,425,150,176,41.91802,32.869296,11.600928,13.611756,7.87545787545788
"330400-3",201,330400,3,1614,601,1614,422,1192,1180,34,1123,3,11,0,9,12,1162,294,868,865,30,820,3,10,0,2,3,601,586,15,17352748.942073,27887,85300,996,426,0,70.042194,29.957806,0,121,320,359,95,13.519553,35.75419,40.111732,10.614525,2.49584026622296
"330500-1",201,330500,1,1582,442,1582,1129,453,444,66,372,5,1,0,0,9,993,649,344,337,51,280,5,1,0,0,7,442,416,26,14916594.598259,28835,64600,240,858,0,21.857923,78.142077,0,322,140,112,78,49.386503,21.472393,17.177914,11.96319,5.88235294117647
"330500-2",201,330500,2,1468,416,1468,744,724,715,28,678,1,4,0,4,9,1052,508,544,536,25,505,0,4,0,2,8,416,394,22,4781310.243854,55387,83100,709,1076,0,39.719888,60.280112,0,350,460,254,161,28.571429,37.55102,20.734694,13.142857,5.28846153846154
"330500-3",201,330500,3,1071,346,1071,487,584,576,50,524,0,0,0,2,8,762,318,444,438,42,396,0,0,0,0,6,346,322,24,9719760.557502,39250,72000,868,288,0,75.086505,24.913495,0,166,264,138,37,27.438017,43.636364,22.809917,6.115702,6.9364161849711
"330600-1",201,330600,1,1333,425,1333,589,744,739,27,710,1,1,0,0,5,943,393,550,546,22,522,1,1,0,0,4,425,403,22,8346555.936418,53558,90900,997,880,0,53.116676,46.883324,0,550,364,214,53,46.570703,30.821338,18.120237,4.487722,5.17647058823529
"330600-2",201,330600,2,2095,709,2095,740,1355,1342,94,1174,2,72,0,0,13,1438,492,946,938,80,795,2,61,0,0,8,709,655,54,17493322.046138,35855,89000,1192,324,93,74.083282,20.136731,5.779988,257,202,392,231,23.752311,18.669131,36.229205,21.349353,7.6163610719323
"330600-3",201,330600,3,721,253,721,243,478,473,34,438,1,0,0,0,5,536,160,376,374,32,341,1,0,0,0,2,253,233,20,3474034.619489,62533,92000,495,169,14,73.00885,24.926254,2.064897,121,167,212,0,24.2,33.4,42.4,0,7.90513833992095
"330600-4",201,330600,4,2275,678,2275,919,1356,1341,76,1247,6,8,0,4,15,1611,594,1017,1006,69,924,3,8,0,2,11,678,642,36,10586514.694354,41250,86000,1143,985,26,53.064067,45.728876,1.207057,432,431,339,151,31.929047,31.855137,25.055432,11.160384,5.30973451327434
"330700-1",201,330700,1,2189,578,2189,1390,799,787,42,740,3,2,0,0,12,1261,787,474,470,34,433,1,2,0,0,4,578,523,55,8791489.924346,38051,73300,1541,2154,22,41.458165,57.94996,0.591875,1090,548,362,132,51.125704,25.703565,16.979362,6.19137,9.51557093425606
"330700-2",201,330700,2,1700,493,1700,956,744,739,35,699,2,3,0,0,5,1213,656,557,554,20,530,1,3,0,0,3,493,471,22,7291267.727152,40962,74100,799,898,15,46.670561,52.453271,0.876168,262,391,420,53,23.268206,34.724689,37.300178,4.706927,4.46247464503043
"330700-3",201,330700,3,1542,439,1542,1126,416,406,33,363,2,7,0,1,10,1040,728,312,308,31,272,0,5,0,0,4,439,424,15,5854996.033894,29718,97100,559,957,0,36.873351,63.126649,0,605,160,96,41,67.073171,17.738359,10.643016,4.545455,3.41685649202733
"330800-1",201,330800,1,2525,860,2525,1186,1339,1321,241,989,5,82,0,4,18,1721,743,978,970,209,692,4,62,0,3,8,860,788,72,159653286.679485,32139,89000,984,1023,77,47.216891,49.088292,3.694818,483,320,298,132,39.172749,25.95296,24.168694,10.705596,8.37209302325581
"330800-2",201,330800,2,5,2,5,0,5,5,0,3,0,2,0,0,0,4,0,4,4,0,2,0,2,0,0,0,2,2,0,11499727.237068,66216,122400,3600,774,154,79.5053,17.09364,3.40106,457,613,1047,799,15.672154,21.021948,35.90535,27.400549,0
"330900-1",201,330900,1,5186,2131,5186,1137,4049,3976,451,3218,6,292,0,9,73,3752,752,3000,2960,408,2310,5,232,0,5,40,2131,2009,122,48414678.034578,52119,115800,2643,936,166,70.574099,24.993324,4.432577,305,634,948,809,11.313056,23.51632,35.163205,30.007418,5.72501173158142
"330900-2",201,330900,2,1245,425,1245,762,483,475,101,356,1,17,0,0,8,822,475,347,340,86,241,1,12,0,0,7,425,347,78,46983945.558969,36638,51000,504,680,0,42.567568,57.432432,0,266,247,130,53,38.218391,35.488506,18.678161,7.614943,18.3529411764706
"330900-3",201,330900,3,1455,405,1455,1144,311,306,124,179,0,0,0,3,5,871,646,225,223,97,124,0,0,0,2,2,405,375,30,12383351.1748,49471,51600,302,760,0,28.436911,71.563089,0,240,246,105,46,37.676609,38.618524,16.483516,7.22135,7.40740740740741
"331100-1",201,331100,1,522,265,522,71,451,449,5,444,0,0,0,0,2,398,41,357,355,5,350,0,0,0,0,2,265,206,59,3543436.451809,19583,48000,563,0,0,100,0,0,133,86,71,72,36.740331,23.756906,19.61326,19.889503,22.2641509433962
"331100-2",201,331100,2,545,212,545,93,452,449,12,437,0,0,0,0,3,417,69,348,347,11,336,0,0,0,0,1,212,182,30,6569585.947497,41786,45200,434,8,0,98.190045,1.809955,0,51,192,49,68,14.166667,53.333333,13.611111,18.888889,14.1509433962264
