OBJECTID_1,OBJECTID,STATE,COUNTY,TRACT,BLKGRP,SUM_POP100,SUM_HU100,SUM_TotPop,SUM_HispPo,SUM_NonHis,SUM_NHOneR,SUM_NH_Whi,SUM_NH_Bla,SUM_NH_AmI,SUM_NH_Asi,SUM_NH_Haw,SUM_NH_Oth,SUM_NH_2or,SUM_VAP_To,SUM_VAP_Hi,SUM_VAP_No,SUM_VAP_NH,SUM_VAP__1,SUM_VAP__2,SUM_VAP__3,SUM_VAP__4,SUM_VAP_Ha,SUM_VAP__5,SUM_VAP__6,SUM_TotHou,SUM_OccHU,SUM_Vacant,BG_ID,GEOID,BG_ID_1, Median_HHI ,No_HS,HS_Graduate,Some_College,BS_and_Higher,Shapearea,Shapelen,Percent_No_HS,Percent_HS_Graduate,Percent_Some_College,Percent_BS_and_Higher,% No HS
576,576,48,201,330900,3,1455,405,1455,1144,311,306,124,179,0,0,0,3,5,871,646,225,223,97,124,0,0,0,2,2,405,375,30,4.82013E+11,15000US482013309003,4.82013E+11," 49,471 ",240,246,105,46,12383351.17,14806.08458, 38 ,38.618524,16.483516,7.22135,37.7%
1465,1465,48,201,532900,2,262,191,262,239,23,23,3,20,0,0,0,0,0,170,152,18,18,3,15,0,0,0,0,0,191,88,103,4.82015E+11,15000US482015329002,4.82015E+11," 49,474 ",241,239,189,227,433107.6214,3640.833685, 27 ,26.674107,21.09375,25.334821,26.9%
655,655,48,201,333700,1,2094,607,2094,1608,486,476,194,174,6,101,0,1,10,1412,1027,385,378,165,130,3,79,0,1,7,607,579,28,4.82013E+11,15000US482013337001,4.82013E+11," 49,604 ",535,582,279,96,18341032.06,18208.62094, 36 ,39.008043,18.699732,6.434316,35.9%
64,64,48,201,210900,2,637,293,637,105,532,532,7,523,1,1,0,0,0,487,62,425,425,5,419,1,0,0,0,0,293,247,46,4.82012E+11,15000US482012109002,4.82012E+11," 49,667 ",58,289,50,91,5418620.673,9756.575729, 12 ,59.221311,10.245902,18.647541,11.9%
23,23,48,157,670700,1,1506,514,1506,125,1381,1367,38,1302,2,23,0,2,14,1064,77,987,982,36,923,2,20,0,1,5,514,487,27,4.81577E+11,15000US481576707001,4.81577E+11," 49,856 ",287,303,387,337,8636663.107,14326.20808, 22 ,23.059361,29.452055,25.64688,21.8%
1299,1299,48,201,511302,3,1240,839,1240,267,973,954,876,46,0,30,0,2,19,1102,236,866,851,780,41,0,28,0,2,15,839,745,94,4.82015E+11,15000US482015113023,4.82015E+11," 49,861 ",90,107,272,567,5619225.737,11987.60045, 9 ,10.328185,26.254826,54.72973,8.7%
1309,1309,48,201,511500,7,1282,592,1282,601,681,649,601,23,1,23,0,1,32,1017,433,584,568,527,19,1,21,0,0,16,592,537,55,4.82015E+11,15000US482015115007,4.82015E+11," 49,871 ",229,157,119,196,6446166.601,14850.79744, 33 ,22.396576,16.975749,27.960057,32.7%
1467,1467,48,201,533100,1,1828,718,1828,584,1244,1224,346,821,13,42,0,2,20,1323,371,952,940,311,584,8,36,0,1,12,718,619,99,4.82015E+11,15000US482015331001,4.82015E+11," 49,881 ",272,352,184,147,11456001.02,16232.66986, 28 ,36.858639,19.267016,15.39267,28.5%
380,380,48,201,254600,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82013E+11,15000US482012546002,4.82013E+11," 49,904 ",344,286,214,46,6669126.669,19728.11902, 39 ,32.134831,24.044944,5.168539,38.7%
156,156,48,201,221700,2,2203,649,2203,1987,216,215,180,24,1,7,1,2,1,1461,1272,189,188,159,18,1,7,1,2,1,649,585,64,4.82012E+11,15000US482012217002,4.82012E+11," 50,029 ",463,287,155,15,18235609.22,20998.75128, 50 ,31.195652,16.847826,1.630435,50.3%
1423,1423,48,201,531500,1,945,421,945,355,590,583,552,13,3,13,0,2,7,767,253,514,511,486,9,3,13,0,0,3,421,401,20,4.82015E+11,15000US482015315001,4.82015E+11," 50,119 ",52,287,128,150,7599415.371,11337.23656, 8 ,46.515397,20.745543,24.311183,8.4%
166,166,48,201,222300,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82012E+11,15000US482012223002,4.82012E+11," 50,129 ",187,118,52,0,311024.8015,5838.303657, 52 ,33.053221,14.565826,0,52.4%
1207,1207,48,201,453403,1,1313,550,1313,426,887,879,68,458,0,351,0,2,8,932,264,668,663,60,324,0,277,0,2,5,550,407,143,4.82015E+11,15000US482014534031,4.82015E+11," 50,194 ",159,230,466,100,3372706.888,8983.30815, 17 ,24.08377,48.795812,10.471204,16.6%
239,239,48,201,232401,2,1283,359,1283,955,328,326,38,278,0,10,0,0,2,831,601,230,229,32,191,0,6,0,0,1,359,344,15,4.82012E+11,15000US482012324012,4.82012E+11," 50,227 ",144,251,171,44,29172206.18,26306.25944, 24 ,41.147541,28.032787,7.213115,23.6%
1618,1618,48,201,553100,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82016E+11,15000US482015531004,4.82016E+11," 50,292 ",86,262,351,492,64308.32183,1175.261996, 7 ,21.998321,29.471033,41.309824,7.2%
887,887,48,201,421800,3,1136,666,1136,190,946,923,548,237,1,136,0,1,23,915,143,772,756,467,182,1,105,0,1,16,666,578,88,4.82014E+11,15000US482014218003,4.82014E+11," 50,444 ",44,161,130,428,2545506.246,6268.144896, 6 ,21.100917,17.038008,56.094364,5.8%
1525,1525,48,201,541700,1,2455,1222,2455,860,1595,1523,883,541,6,85,0,8,72,1812,566,1246,1200,740,379,6,70,0,5,46,1222,1113,109,4.82015E+11,15000US482015417001,4.82015E+11," 50,481 ",171,506,639,397,43147679.72,38861.8172, 10 ,29.538821,37.302977,23.175715,10.0%
918,918,48,201,422500,4,1030,562,1030,179,851,839,621,131,1,76,0,10,12,875,144,731,722,543,113,1,63,0,2,9,562,542,20,4.82014E+11,15000US482014225004,4.82014E+11," 50,489 ",81,59,190,439,5471382.399,12247.70936, 11 ,7.672302,24.707412,57.087126,10.5%
673,673,48,201,334003,3,2866,1109,2866,1376,1490,1452,895,335,2,210,1,9,38,2072,887,1185,1169,767,236,1,159,1,5,16,1109,977,132,4.82013E+11,15000US482013340033,4.82013E+11," 50,491 ",488,671,623,261,16558456.63,18158.21282, 24 ,32.843857,30.494371,12.77533,23.9%
1229,1229,48,201,454100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82015E+11,15000US482014541002,4.82015E+11," 50,511 ",231,291,405,358,376135.1025,7949.61026, 18 ,22.645914,31.51751,27.859922,18.0%
776,776,48,201,411300,3,688,560,688,147,541,525,377,66,3,77,1,1,16,654,138,516,503,362,63,3,73,1,1,13,560,488,72,4.82014E+11,15000US482014113003,4.82014E+11," 50,536 ",35,17,112,480,2733094.285,7375.63587, 5 ,2.639752,17.391304,74.534161,5.4%
522,522,48,201,320900,4,1882,515,1882,1509,373,368,290,36,1,39,1,1,5,1303,991,312,309,253,22,1,32,1,0,3,515,497,18,4.82013E+11,15000US482013209004,4.82013E+11," 50,547 ",429,233,339,64,6257647.527,11668.57916, 40 ,21.877934,31.830986,6.00939,40.3%
1072,1072,48,201,433300,1,1973,657,1973,837,1136,1098,537,150,0,408,0,3,38,1502,567,935,917,478,97,0,339,0,3,18,657,628,29,4.82014E+11,15000US482014333001,4.82014E+11," 50,625 ",410,138,333,365,10216803.48,14411.98498, 33 ,11.075441,26.725522,29.29374,32.9%
1582,1582,48,201,551500,2,845,322,845,132,713,690,72,489,2,126,0,1,23,492,85,407,401,60,248,1,91,0,1,6,322,259,63,4.82016E+11,15000US482015515002,4.82016E+11," 50,750 ",666,665,772,699,34579188.92,59233.98061, 24 ,23.733048,27.551749,24.946467,23.8%
464,464,48,201,313000,1,712,435,712,28,684,654,42,606,0,4,0,2,30,564,23,541,528,42,480,0,4,0,2,13,435,331,104,4.82013E+11,15000US482013130001,4.82013E+11," 50,833 ",17,79,146,193,3691631.856,8228.392077, 4 ,18.16092,33.563218,44.367816,3.9%
825,825,48,201,413202,2,1954,1458,1954,305,1649,1610,1040,159,4,401,1,5,39,1775,268,1507,1471,992,136,4,333,1,5,36,1458,1223,235,4.82014E+11,15000US482014132022,4.82014E+11," 50,833 ",0,51,195,850,4744140.718,9796.156248, -   ,4.653285,17.791971,77.554745,0.0%
957,957,48,201,423600,2,615,223,615,158,457,452,43,332,1,75,0,1,5,469,109,360,356,39,252,1,63,0,1,4,223,215,8,4.82014E+11,15000US482014236002,4.82014E+11," 50,871 ",243,329,281,160,3907616.478,14218.09807, 24 ,32.477789,27.739388,15.794669,24.0%
1151,1151,48,201,451800,1,818,272,818,354,464,437,177,139,10,108,0,3,27,597,239,358,344,151,90,6,94,0,3,14,272,254,18,4.82015E+11,15000US482014518001,4.82015E+11," 50,938 ",30,284,51,212,3063345.57,8581.452206, 5 ,49.220104,8.838821,36.741768,5.2%
1651,1651,48,201,556000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82016E+11,15000US482015560003,4.82016E+11," 50,943 ",361,627,707,231,1346408.927,47354.32232, 19 ,32.554517,36.708204,11.993769,18.7%
666,666,48,201,333902,3,1716,923,1716,793,923,894,228,522,5,133,6,0,29,1313,570,743,720,198,406,3,109,4,0,23,923,803,120,4.82013E+11,15000US482013339023,4.82013E+11," 50,964 ",180,416,507,335,7475282.137,11215.94866, 13 ,28.929068,35.257302,23.296245,12.5%
1182,1182,48,201,452700,1,1047,314,1047,567,480,446,63,216,4,155,0,8,34,752,381,371,350,56,156,2,133,0,3,21,314,299,15,4.82015E+11,15000US482014527001,4.82015E+11," 50,982 ",243,417,352,92,3222193.193,7452.312848, 22 ,37.771739,31.884058,8.333333,22.0%
656,656,48,201,333700,2,1062,366,1062,794,268,264,193,48,0,22,0,1,4,734,510,224,220,168,35,0,17,0,0,4,366,327,39,4.82013E+11,15000US482013337002,4.82013E+11," 50,987 ",264,197,98,14,78148409.79,37744.86829, 46 ,34.380454,17.102967,2.443281,46.1%
298,298,48,201,240802,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82012E+11,15000US482012408021,4.82012E+11," 51,023 ",149,316,245,88,536976.6077,3483.37245, 19 ,39.598997,30.701754,11.027569,18.7%
1231,1231,48,201,454301,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82015E+11,15000US482014543011,4.82015E+11," 51,076 ",264,459,512,315,140350.5739,4739.133026, 17 ,29.612903,33.032258,20.322581,17.0%
1420,1420,48,201,531300,2,1513,709,1513,495,1018,998,882,68,2,45,0,1,20,1280,359,921,905,796,63,2,43,0,1,16,709,668,41,4.82015E+11,15000US482015313002,4.82015E+11," 51,287 ",76,340,273,361,11426297.29,14804.50507, 7 ,32.380952,26,34.380952,7.2%
1561,1561,48,201,550402,1,128,159,128,39,89,89,16,72,0,1,0,0,0,88,24,64,64,14,49,0,1,0,0,0,159,58,101,4.82016E+11,15000US482015504021,4.82016E+11," 51,414 ",253,340,318,312,1866845.697,6079.767419, 21 ,27.800491,26.001635,25.511038,20.7%
1334,1334,48,201,520700,3,997,425,997,369,628,613,502,64,1,41,1,4,15,758,251,507,500,405,59,1,30,1,4,7,425,342,83,4.82015E+11,15000US482015207003,4.82015E+11," 51,439 ",519,199,210,282,5083610.971,9310.124563, 43 ,16.446281,17.355372,23.305785,42.9%
1487,1487,48,201,533901,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82015E+11,15000US482015339013,4.82015E+11," 51,462 ",750,883,527,480,1174130.439,16901.84982, 28 ,33.44697,19.962121,18.181818,28.4%
693,693,48,201,340500,3,2016,1096,2016,383,1633,1580,1196,140,2,239,0,3,53,1633,256,1377,1335,1020,114,2,196,0,3,42,1096,1000,96,4.82013E+11,15000US482013405003,4.82013E+11," 51,644 ",150,188,653,566,9556821.481,13406.44575, 10 ,12.074502,41.939627,36.351959,9.6%
249,249,48,201,232702,2,225,89,225,134,91,91,3,85,2,1,0,0,0,169,90,79,79,3,73,2,1,0,0,0,89,72,17,4.82012E+11,15000US482012327022,4.82012E+11," 51,750 ",38,0,72,5,2036285.248,5928.192227, 33 ,0,62.608696,4.347826,33.0%
4,4,48,157,670101,4,1272,339,1272,1024,248,244,50,189,1,0,0,4,4,831,650,181,180,46,133,1,0,0,0,1,339,318,21,4.81577E+11,15000US481576701014,4.81577E+11," 51,755 ",595,371,171,44,3148186.524,7731.396743, 50 ,31.414056,14.479255,3.725656,50.4%
256,256,48,201,233001,1,41,23,41,9,32,31,14,17,0,0,0,0,1,28,3,25,25,13,12,0,0,0,0,0,23,15,8,4.82012E+11,15000US482012330011,4.82012E+11," 51,799 ",174,334,226,158,801719.2852,10218.73936, 20 ,37.443946,25.336323,17.713004,19.5%
731,731,48,201,350500,3,2842,956,2842,1163,1679,1635,798,333,2,495,3,4,44,1974,739,1235,1213,615,232,2,361,1,2,22,956,934,22,4.82014E+11,15000US482013505003,4.82014E+11," 51,852 ",391,420,430,319,45556211.5,32734.59376, 25 ,26.923077,27.564103,20.448718,25.1%
1505,1505,48,201,540601,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82015E+11,15000US482015406012,4.82015E+11," 51,957 ",53,36,13,25,301599.2678,4895.410937, 42 ,28.346457,10.23622,19.685039,41.7%
18,18,48,157,670500,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.81577E+11,15000US481576705002,4.81577E+11," 51,982 ",222,333,682,281,2842550.066,13138.12165, 15 ,21.936759,44.927536,18.511199,14.6%
371,371,48,201,252100,1,5,5,5,0,5,5,5,0,0,0,0,0,0,5,0,5,5,5,0,0,0,0,0,0,5,4,1,4.82013E+11,15000US482012521001,4.82013E+11," 52,059 ",331,315,230,112,41156217.72,79479.24468, 34 ,31.882591,23.279352,11.336032,33.5%
161,161,48,201,221900,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82012E+11,15000US482012219002,4.82012E+11," 52,083 ",275,131,90,25,62068.62137,2946.191667, 53 ,25.143954,17.274472,4.798464,52.8%
596,596,48,201,331601,3,1250,434,1250,214,1036,1027,9,1016,0,1,0,1,9,875,120,755,749,5,742,0,1,0,1,6,434,409,25,4.82013E+11,15000US482013316013,4.82013E+11," 52,092 ",154,165,168,64,4455035.913,9851.747652, 28 ,29.945554,30.490018,11.615245,27.9%
574,574,48,201,330900,1,5186,2131,5186,1137,4049,3976,451,3218,6,292,0,9,73,3752,752,3000,2960,408,2310,5,232,0,5,40,2131,2009,122,4.82013E+11,15000US482013309001,4.82013E+11," 52,119 ",305,634,948,809,48414678.03,31289.81221, 11 ,23.51632,35.163205,30.007418,11.3%
844,844,48,201,420600,1,598,349,598,139,459,441,343,67,1,29,0,1,18,495,99,396,388,308,53,1,25,0,1,8,349,305,44,4.82014E+11,15000US482014206001,4.82014E+11," 52,137 ",52,144,164,199,3230554.413,8726.784605, 9 ,25.760286,29.338104,35.599284,9.3%
1178,1178,48,201,452500,3,2801,859,2801,1234,1567,1534,268,423,5,834,0,4,33,1981,819,1162,1145,232,264,4,641,0,4,17,859,806,53,4.82015E+11,15000US482014525003,4.82015E+11," 52,153 ",606,522,320,233,7814428.968,11440.1701, 36 ,31.052945,19.036288,13.860797,36.0%
489,489,48,201,313900,1,1943,1181,1943,272,1671,1609,668,651,3,284,2,1,62,1676,214,1462,1415,615,529,3,265,2,1,47,1181,979,202,4.82013E+11,15000US482013139001,4.82013E+11," 52,174 ",29,153,37,367,22946204.76,21009.97203, 5 ,26.109215,6.313993,62.627986,4.9%
785,785,48,201,411502,3,722,567,722,127,595,580,455,37,3,76,2,7,15,677,113,564,550,432,36,3,70,2,7,14,567,512,55,4.82014E+11,15000US482014115023,4.82014E+11," 52,188 ",17,117,142,504,5026782.4,14284.27489, 2 ,15,18.205128,64.615385,2.2%
